_TYPE_;_FREQ_;separation1;separation2;n;ncov;epv;truebeta1;truebeta2;method;BetaNA1;BetaNA2;noLowerCI1;NoUpperCI1;NoLowerCI2;NoUpperCI2;MUE1;MUE2
0;68986;;;200;2;10;-2.772588722;0.6931471806;Exact;0;0;;;;;0.8340943683;0
0;40001;0.6988;0.0001;200;2;10;-2.079441542;0.6931471806;ML;;;;;;;;
0;60001;;;200;2;10;-2.079441542;0.6931471806;LXPMLE;0.0192;0.0192;0.0193;0.0193;0.0193;0.0193;;
0;68965;;;200;2;10;-2.079441542;0.6931471806;Exact;0;0;;;;;0.6988428745;0
0;40001;0.5106;0.0002;200;2;10;-1.386294361;0.6931471806;ML;;;;;;;;
0;60001;;;200;2;10;-1.386294361;0.6931471806;LXPMLE;0.013;0.013;0.0131;0.0131;0.0131;0.0131;;
0;69091;;;200;2;10;-1.386294361;0.6931471806;Exact;0;0;;;;;0.510739615;0
0;40001;0.2687;0.0001;200;2;10;-0.693147181;0.6931471806;ML;;;;;;;;
0;60001;;;200;2;10;-0.693147181;0.6931471806;LXPMLE;0.0085;0.0085;0.009;0.0089;0.009;0.009;;
0;69098;;;200;2;10;-0.693147181;0.6931471806;Exact;0;0;;;;;0.2685644818;0
0;40001;0.0947;0;200;2;10;0;0.6931471806;ML;;;;;;;;
0;60001;;;200;2;10;0;0.6931471806;LXPMLE;0.0044;0.0044;0.005;0.005;0.005;0.005;;
0;69084;;;200;2;10;0;0.6931471806;Exact;0;0;;;;;0.0946397811;0
0;40001;0.0194;0;200;2;10;0.6931471806;0.6931471806;ML;;;;;;;;
0;60001;;;200;2;10;0.6931471806;0.6931471806;LXPMLE;0.0013;0.0013;0.0029;0.0029;0.0029;0.0029;;
0;69217;;;200;2;10;0.6931471806;0.6931471806;Exact;0;0;;;;;0.0196197411;0
0;40001;0.0021;0;200;2;10;1.3862943611;0.6931471806;ML;;;;;;;;
0;60001;;;200;2;10;1.3862943611;0.6931471806;LXPMLE;0;0;0.005;0.0051;0.005;0.0051;;
0;69056;;;200;2;10;1.3862943611;0.6931471806;Exact;0;0;;;;;0.002128738;0
0;40001;0.0006;0;200;2;10;2.0794415417;0.6931471806;ML;;;;;;;;
0;60001;;;200;2;10;2.0794415417;0.6931471806;LXPMLE;0.0001;0.0001;0.0175;0.0198;0.0189;0.0198;;
0;69217;;;200;2;10;2.0794415417;0.6931471806;Exact;0;0;;;;;0.0007079288;0
0;40001;0;0;200;2;10;2.7725887222;0.6931471806;ML;;;;;;;;
0;60001;;;200;2;10;2.7725887222;0.6931471806;LXPMLE;0.0025;0.0025;0.043;0.059;0.0535;0.059;;
0;69154;;;200;2;10;2.7725887222;0.6931471806;Exact;0;0;;;;;0.0025306205;0
0;70001;0.9077;0.0008;150;5;3;-2.772588722;0.6931471806;ML;;;;;;;;
0;120001;;;150;5;3;-2.772588722;0.6931471806;LXPMLE;0.0002;0.0002;0.3961;0.396;0.3958;0.3961;;
0;89191;;;150;5;3;-2.772588722;0.6931471806;Exact;0.0015696827;0;;;;;0.9055947976;0
0;70001;0.8268;0.0006;150;5;3;-2.079441542;0.6931471806;ML;;;;;;;;
0;120001;;;150;5;3;-2.079441542;0.6931471806;LXPMLE;0.0002;0.0002;0.3939;0.3939;0.3939;0.3939;;
0;86651;;;150;5;3;-2.079441542;0.6931471806;Exact;0.0021927294;0;;;;;0.822965955;0
0;70001;0.6814;0.0007;150;5;3;-1.386294361;0.6931471806;ML;;;;;;;;
0;120001;;;150;5;3;-1.386294361;0.6931471806;LXPMLE;0;0;0.4018;0.4017;0.4017;0.4018;;
0;85081;;;150;5;3;-1.386294361;0.6931471806;Exact;0.0016455101;0;;;;;0.6775975552;0
0;70001;0.4761;0.0008;150;5;3;-0.693147181;0.6931471806;ML;;;;;;;;
0;120001;;;150;5;3;-0.693147181;0.6931471806;LXPMLE;0.0002;0.0002;0.4292;0.4292;0.4291;0.4292;;
0;83111;;;150;5;3;-0.693147181;0.6931471806;Exact;0.0014438696;0;;;;;0.4759956684;0
0;70001;0.2522;0.0003;150;5;3;0;0.6931471806;ML;;;;;;;;
0;120001;;;150;5;3;0;0.6931471806;LXPMLE;0;0;0.465;0.465;0.465;0.4649;;
0;80181;;;150;5;3;0;0.6931471806;Exact;0.0009977551;0;;;;;0.2519331504;0
0;70001;0.0902;0.0002;150;5;3;0.6931471806;0.6931471806;ML;;;;;;;;
0;120001;;;150;5;3;0.6931471806;0.6931471806;LXPMLE;0;0;0.5117;0.5118;0.5116;0.5118;;
0;80421;;;150;5;3;0.6931471806;0.6931471806;Exact;0.0006217359;0;;;;;0.089032579;0
0;70001;0.0245;0.0002;150;5;3;1.3862943611;0.6931471806;ML;;;;;;;;
0;120001;;;150;5;3;1.3862943611;0.6931471806;LXPMLE;0;0;0.5743;0.5756;0.5755;0.5756;;
0;99301;;;150;5;3;1.3862943611;0.6931471806;Exact;0.0005035247;0;;;;;0.0304128902;0
0;70001;0.0044;0.0001;150;5;3;2.0794415417;0.6931471806;ML;;;;;;;;
0;120001;;;150;5;3;2.0794415417;0.6931471806;LXPMLE;0.0006;0.0006;0.5833;0.5895;0.5894;0.5895;;
0;100001;;;150;5;3;2.0794415417;0.6931471806;Exact;0.0003;0;;;;;0.0118;0
0;70001;0.0006;0.0001;150;5;3;2.7725887222;0.6931471806;ML;;;;;;;;
0;120001;;;150;5;3;2.7725887222;0.6931471806;LXPMLE;0.0091;0.0091;0.5397;0.5575;0.5564;0.5575;;
0;100001;;;150;5;3;2.7725887222;0.6931471806;Exact;0;0.0002;;;;;0.024;0
0;70001;0.8455;0;250;5;5;-2.772588722;0.6931471806;ML;;;;;;;;
0;120001;;;250;5;5;-2.772588722;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;100001;;;250;5;5;-2.772588722;0.6931471806;Exact;0;0;;;;;0.8455;0
0;70001;0.7176;0;250;5;5;-2.079441542;0.6931471806;ML;;;;;;;;
0;120001;;;250;5;5;-2.079441542;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;100001;;;250;5;5;-2.079441542;0.6931471806;Exact;0;0;;;;;0.7176;0
0;70001;0.5287;0;250;5;5;-1.386294361;0.6931471806;ML;;;;;;;;
0;120001;;;250;5;5;-1.386294361;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;100001;;;250;5;5;-1.386294361;0.6931471806;Exact;0.0001;0;;;;;0.5286;0
0;70001;0.2888;0.0001;250;5;5;-0.693147181;0.6931471806;ML;;;;;;;;
0;120001;;;250;5;5;-0.693147181;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;100001;;;250;5;5;-0.693147181;0.6931471806;Exact;0;0;;;;;0.2888;0
0;70001;0.105;0;250;5;5;0;0.6931471806;ML;;;;;;;;
0;120001;;;250;5;5;0;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;100001;;;250;5;5;0;0.6931471806;Exact;0;0;;;;;0.1051;0
0;70001;0.0181;0;250;5;5;0.6931471806;0.6931471806;ML;;;;;;;;
0;120001;;;250;5;5;0.6931471806;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;100001;;;250;5;5;0.6931471806;0.6931471806;Exact;0;0;;;;;0.0183;0
0;70001;0.0023;0;250;5;5;1.3862943611;0.6931471806;ML;;;;;;;;
