_TYPE_;_FREQ_;bias1;msen1;leftcov1;rightcov1;power1;bias2;msen2;leftcov2;rightcov2;power2;width1;width2;MSPEN;rmsen1;rmsen2;rmspen;n;ncov;epv;method;truebeta1;truebeta2
0;10000;-14.62213342;358.52258223;0.9647;1;0.0072;0.1007394095;51.220243035;0.9588;0.9942;0.1089;714913.43009;3.3947572022;0.3714227144;146.66749788;55.436581624;0.609444595;60;2;3;ML;-0.693147181;0.6931471806
0;10000;0.6423099756;1.1125309098;0.9497;1;0.0111;-0.007025298;0.7586131824;0.978;0.9759;0.1378;6.7480754563;3.2892336844;0.5003792342;8.1701808174;6.7466132943;0.7073748894;60;2;3;Firth;-0.693147181;0.6931471806
0;10000;0.6423119025;1.1125346427;0.9497;1;0.0111;-0.007026386;0.7586143573;0.978;0.9759;0.1378;6.7480663121;3.2892338089;0.3287457265;8.170194524;6.7466185187;0.5733635204;60;2;3;FLAC;-0.693147181;0.6931471806
0;10000;-0.212909928;1.2073972885;0.9819;1;0.0068;-0.065199425;1.049361715;0.9767;0.9717;0.1244;8.3693638287;3.6338273122;0.3257351829;8.5113945571;7.9348410761;0.5707321463;60;2;3;DatAug;-0.693147181;0.6931471806
0;60001;0.6108142898;1.8917949383;0.9447;0.9854;0.0096;-0.005662543;0.7889494869;0.9659;0.9684;0.1314;7.028804614;3.4283821001;;10.653999075;6.8801867135;;60;2;3;LXPMLE;-0.693147181;0.6931471806
0;69847;0.9252798164;1.4014962076;0.9892764081;0.9953898577;0.0015033073;0.002916626;0.7779652054;0.9926839046;0.9938865504;0.0653437563;1E300;4.6493530273;;9.170047571;6.8321235587;;60;2;3;Exact;-0.693147181;0.6931471806
0;69847;0.9252798164;1.4014962076;0.9803567849;0.9953898577;0.0034074965;0.002916626;0.7779652054;0.9818600922;0.9855682502;0.1053317298;1E300;4.0350914001;;9.170047571;6.8321235587;;60;2;3;Mid-P;-0.693147181;0.6931471806
0;10000;-10.35007016;269.27919144;0.9638;1;0.0362;0.3809710254;58.085875709;0.9479;0.9883;0.1184;4.8674243808;3.4699079318;0.4507045355;127.10921086;59.03518055;0.6713453176;60;2;3;ML;0;0.6931471806
0;10000;0.3122016056;0.9098890193;0.9575;0.9994;0.0431;-0.013832759;0.7978941204;0.9791;0.9732;0.1379;4.4085073422;3.3322365109;0.5946245119;7.3887306867;6.9190784953;0.7711189998;60;2;3;Firth;0;0.6931471806
0;10000;0.312203496;0.9098914733;0.9575;0.9994;0.0431;-0.013834093;0.7978952434;0.9791;0.9732;0.1379;4.4085073422;3.3322365816;0.3845574353;7.3887406504;6.9190833646;0.6201269509;60;2;3;FLAC;0;0.6931471806
0;10000;-0.364147306;1.6464643719;0.9798;0.9977;0.0225;-0.046981249;1.0810323141;0.976;0.9702;0.1275;5.0803539088;3.6547857882;0.3917006732;9.9392083343;8.0536910077;0.625859947;60;2;3;DatAug;0;0.6931471806
0;60001;0.2976802557;1.4100229126;0.9562;0.9898;0.0373;-0.013005483;0.8298556085;0.9716;0.9702;0.1279;4.572871718;3.4402926174;;9.1979005623;7.0562976491;;60;2;3;LXPMLE;0;0.6931471806
0;69812;0.4690437941;0.8302499885;0.986964805;0.9965907951;0.0100270731;-0.006043304;0.7951421809;0.9928807781;0.9926802366;0.0637721849;7.0534706116;4.6493530273;;7.0579741649;6.9071362266;;60;2;3;Exact;0;0.6931471806
0;69812;0.4690437941;0.8302499885;0.9792439587;0.9961897122;0.0181490023;-0.006043304;0.7951421809;0.9836558709;0.9831545172;0.1048831846;6.0172796249;4.0350914001;;7.0579741649;6.9071362266;;60;2;3;Mid-P;0;0.6931471806
0;10000;-5.641873908;163.96651714;0.967;0.9999;0.1179;0.7523593983;62.569829237;0.938;0.9812;0.1279;4.3826127029;3.5236235109;0.5647428504;99.186647429;61.27144322;0.7514937461;60;2;3;ML;0.6931471806;0.6931471806
0;10000;0.1005788423;0.8584483817;0.9663;0.9954;0.1411;0.0017969556;0.8185518055;0.9831;0.972;0.1382;3.8909514044;3.3975615662;0.7316964779;7.1768309792;7.0080745093;0.855392587;60;2;3;Firth;0.6931471806;0.6931471806
0;10000;0.1005806173;0.8584497635;0.9663;0.9954;0.1411;0.0017954441;0.8185523332;0.9831;0.972;0.1382;3.8909504225;3.3975613085;0.4666083704;7.1768367551;7.0080767685;0.6830873813;60;2;3;FLAC;0.6931471806;0.6931471806
0;10000;-0.358058568;1.7003998017;0.9805;0.9874;0.0908;0.0057396425;1.0771921554;0.9791;0.973;0.1306;4.5363985817;3.685158237;0.493779996;10.100692457;8.0393736896;0.70269481;60;2;3;DatAug;0.6931471806;0.6931471806
0;60001;0.1011145763;0.9447220901;0.969;0.992;0.1248;0.0013819239;0.8698561521;0.9817;0.9752;0.1275;4.0248484062;3.5173267471;;7.5288329378;7.2243594269;;60;2;3;LXPMLE;0.6931471806;0.6931471806
0;69805;0.1458839426;0.7125765614;0.9879663057;0.9963898917;0.0489370237;0.0103933627;0.8127377568;0.9948856799;0.9928800642;0.0597673486;6.209897995;4.6630144119;;6.5386996937;6.9831415144;;60;2;3;Exact;0.6931471806;0.6931471806
0;69805;0.1458839426;0.7125765614;0.9802446851;0.9932811873;0.0813277176;0.0103933627;0.8127377568;0.9865623746;0.9828519856;0.1042920176;5.2830934525;4.0586471558;;6.5386996937;6.9831415144;;60;2;3;Mid-P;0.6931471806;0.6931471806
0;10000;-1.889267184;93.68801857;0.9587;0.9971;0.3303;1.346761335;82.728259924;0.9112;0.9699;0.1487;3.8889803609;3.5783882874;0.7439568949;74.975203329;70.453499526;0.8625293589;60;2;3;ML;1.3862943611;0.6931471806
0;10000;0.0103625436;0.8305623235;0.9748;0.9859;0.376;-0.002867566;0.8464829751;0.9849;0.9749;0.1283;3.6149067152;3.5785089016;0.9275225922;7.0593016235;7.1266386541;0.9630797434;60;2;3;Firth;1.3862943611;0.6931471806
0;10000;0.010364456;0.8305637233;0.9748;0.9859;0.376;-0.002869511;0.84648321;0.9849;0.9749;0.1283;3.6149065231;3.5785085914;0.6127258749;7.0593075721;7.1266396428;0.782768085;60;2;3;FLAC;1.3862943611;0.6931471806
0;10000;-0.252365854;1.4550425186;0.9843;0.9703;0.2979;0.0547903445;1.1187899906;0.9783;0.9777;0.125;3.9872941441;3.9087447805;0.6625991944;9.3435834195;8.193131235;0.8140019622;60;2;3;DatAug;1.3862943611;0.6931471806
0;60001;0.0097377796;0.8419406501;0.9812;0.9871;0.3515;-0.002554532;0.8462527714;0.9868;0.9804;0.1136;3.7685068491;3.745107884;;7.107491752;7.1256695322;;60;2;3;LXPMLE;1.3862943611;0.6931471806
0;69756;0.0159856922;0.753173595;0.9914701455;0.9935775213;0.2005017561;0.0030653588;0.7880492939;0.9948820873;0.9912694431;0.0509784245;5.2487373352;5.1506757736;;6.7223816985;6.8762604398;;60;2;3;Exact;1.3862943611;0.6931471806
0;69756;0.0159856922;0.753173595;0.9847466131;0.9873557451;0.2754641244;0.0030653588;0.7880492939;0.9871550426;0.9838434521;0.0931259408;4.5244693756;4.4990062714;;6.7223816985;6.8762604398;;60;2;3;Mid-P;1.3862943611;0.6931471806
0;10000;1.1967487046;75.958356855;0.9193;0.9896;0.6443;2.0879513001;107.09302504;0.8776;0.9522;0.1792;3.5904404051;3.5813882703;1.0047811742;67.509269077;80.159724938;1.0023877365;60;2;3;ML;2.0794415417;0.6931471806
0;10000;0.0195828849;0.8342324348;0.9761;0.9771;0.6939;-0.03387161;0.8851174647;0.9879;0.9711;0.1043;3.4562400938;3.7375517725;1.232070792;7.0748813481;7.2874582594;1.1099868431;60;2;3;Firth;2.0794415417;0.6931471806
0;10000;0.0195849948;0.8342337166;0.9761;0.9771;0.6939;-0.033873967;0.885117169;0.9879;0.9711;0.1043;3.456239817;3.7375522376;0.8486781417;7.0748867832;7.2874570421;0.9212372885;60;2;3;FLAC;2.0794415417;0.6931471806
0;10000;-0.090522278;1.1403949796;0.9856;0.9686;0.6178;0.0967969089;1.1624763944;0.9833;0.9803;0.1125;3.7770092312;4.1420412211;0.9015385173;8.2718618687;8.35156175;0.9494938216;60;2;3;DatAug;2.0794415417;0.6931471806
0;60001;0.019588128;0.8342402901;0.9831;0.9807;0.6724;-0.03387641;0.8851211972;0.991;0.9786;0.0907;3.6815557128;3.9251772472;;7.0749146573;7.2874736249;;60;2;3;LXPMLE;2.0794415417;0.6931471806
0;69847;0.0299068325;0.7814050643;0.9937863299;0.9922830226;0.5024052916;-0.03247315;0.76310983;0.9916816997;0.9879735418;0.0411906194;4.8578858376;5.7747364044;;6.8472113929;6.7665788843;;60;2;3;Exact;2.0794415417;0.6931471806
0;69847;0.0299068325;0.7814050643;0.9844658248;0.9849669272;0.5901984366;-0.03247315;0.76310983;0.986370014;0.9794548006;0.0757666867;4.2320728302;4.9646496773;;6.8472113929;6.7665788843;;60;2;3;Mid-P;2.0794415417;0.6931471806
0;10000;4.2871319964;129.33873364;0.821;0.9789;0.8494;3.3606707628;150.29638584;0.8196;0.9238;0.2554;3.5887321726;3.4352205605;1.303624133;88.092701279;94.962008985;1.1417636064;60;2;3;ML;2.7725887222;0.6931471806
0;10000;-0.050146781;0.8570096183;0.9888;0.967;0.8826;-0.028639225;0.9050996081;0.9889;0.9674;0.1004;3.7036036086;3.8272459519;1.5573371006;7.1708142562;7.3692588831;1.2479331315;60;2;3;Firth;2.7725887222;0.6931471806
0;10000;-0.050144426;0.8570101874;0.9888;0.967;0.8826;-0.028642054;0.9050985984;0.9889;0.9674;0.1004;3.7036047;3.8272454302;1.1376414378;7.1708166374;7.3692547726;1.0666027554;60;2;3;FLAC;2.7725887222;0.6931471806
0;10000;-0.067968656;1.023411442;0.994;0.9677;0.84;0.1949077195;1.2619778652;0.9836;0.9808;0.1134;4.0220598067;4.3238600926;1.1698527821;7.8361142489;8.7016476551;1.081597329;60;2;3;DatAug;2.7725887222;0.6931471806
0;60001;-0.050340078;0.8622839199;0.9924;0.9717;0.8726;-0.029439119;0.9058904451;0.9906;0.9769;0.0842;3.8872070276;4.0659353841;;7.1928461122;7.3724776503;;60;2;3;LXPMLE;2.7725887222;0.6931471806
0;69798;-0.056267722;0.7154812601;0.9978938923;0.9892688798;0.7510781266;-0.044990626;0.724336241;0.9778357236;0.9724200181;0.0362049945;5.8602571487;6.1206102371;;6.5520130955;6.5924331213;;60;2;3;Exact;2.7725887222;0.6931471806
0;69798;-0.056267722;0.7154812601;0.9931802226;0.9804432855;0.8178718283;-0.044990626;0.724336241;0.9714171096;0.9636947147;0.0703038813;4.9937725067;5.232334137;;6.5520130955;6.5924331213;;60;2;3;Mid-P;2.7725887222;0.6931471806
0;10000;-19.33638767;420.40949434;0.9374;1;0.0001;-0.099180418;11.078356163;0.9843;0.9907;0.1731;640244.75127;2.6295676217;0.3313083747;205.03889737;33.284164648;0.5755939321;100;2;5;ML;-2.772588722;0.6931471806
0;10000;1.8864864016;3.9600863628;0.9255;1;0.015;-0.016716055;0.4714188566;0.9789;0.9738;0.1998;6.845817233;2.5459749284;0.3915558676;19.899965736;6.8659948774;0.625744251;100;2;5;Firth;-2.772588722;0.6931471806
0;10000;1.8864883034;3.9600936078;0.9255;1;0.015;-0.016716184;0.471419462;0.9789;0.9738;0.1998;6.8458170655;2.5459749239;0.3213410475;19.899983939;6.8659992861;0.5668695154;100;2;5;FLAC;-2.772588722;0.6931471806
0;10000;0.9294343536;1.2524014358;0.968;1;0.0546;-0.073308739;0.5923818665;0.9794;0.9678;0.1767;8.1794944786;2.6801838583;0.3151024457;11.191074282;7.6966347612;0.5613398665;100;2;5;DatAug;-2.772588722;0.6931471806
0;60001;1.9288348825;9.4340286456;0.448;0.4875;0.0217;-0.020038534;2.4627558479;0.484;0.4757;0.1323;6.9301313915;2.3576198072;;30.714863903;15.693170005;;100;2;5;LXPMLE;-2.772588722;0.6931471806
0;69602;2.2937543337;5.646659837;0.995876496;0.9996982802;0.0043246505;-0.016847185;0.5534937056;0.9892386604;0.9900432465;0.1221965202;1E300;3.1533479691;;23.762701524;7.4397157581;;100;2;5;Exact;-2.772588722;0.6931471806
