isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
19,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-3.9427,0.5459,-5.1734,-3.0020,52.16,<.0001
20,x1,1,3.1832,0.5735,2.0948,4.4036,30.81,<.0001
20,x2,1,0.5541,0.5523,-0.5244,1.6932,1.01,0.3157
20,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
21,Intercept,1,-3.0009,0.3730,-3.8250,-2.3438,64.71,<.0001
21,x1,1,1.5965,0.3923,0.8343,2.3843,16.56,<.0001
21,x2,1,1.1625,0.4515,0.3133,2.1054,6.63,0.0100
21,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
22,Intercept,1,-4.3575,0.7048,-6.0525,-3.2011,38.23,<.0001
22,x1,1,3.3225,0.7513,1.9738,5.0057,19.56,<.0001
22,x2,1,0.3373,0.7513,-1.0113,2.0206,0.20,0.6534
22,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
23,Intercept,1,-5.2299,0.8977,-7.4743,-3.7894,33.94,<.0001
23,x1,1,3.3251,0.6994,2.0774,4.9304,22.60,<.0001
23,x2,1,1.8715,0.8606,0.4283,4.0285,4.73,0.0297
23,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
24,Intercept,1,-3.3898,0.4173,-4.3139,-2.6573,66.00,<.0001
24,x1,1,2.9300,0.4797,2.0225,3.9360,37.31,<.0001
24,x2,1,0.1456,0.4498,-0.7551,1.0341,0.10,0.7461
24,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
25,Intercept,1,-3.7179,0.5332,-4.9792,-2.8258,48.62,<.0001
25,x1,1,2.4627,0.5688,1.4240,3.6883,18.75,<.0001
25,x2,1,1.0151,0.7123,-0.3592,2.5139,2.03,0.1541
25,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
26,Intercept,1,-4.1338,0.6403,-5.6884,-3.0803,41.67,<.0001
26,x1,1,2.2684,0.5410,1.2526,3.4089,17.58,<.0001
26,x2,1,1.4440,0.7199,0.1676,3.0972,4.02,0.0449
26,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
27,Intercept,1,-3.8863,0.5624,-5.1951,-2.9371,47.75,<.0001
27,x1,1,2.9079,0.6001,1.8021,4.1871,23.48,<.0001
27,x2,1,0.7713,0.6573,-0.4294,2.1987,1.38,0.2406
27,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
28,Intercept,1,-2.6631,0.3060,-3.3170,-2.1103,75.76,<.0001
