isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-2.8570,0.6321,-4.3973,-1.8202,20.43,<.0001
1,x1,1,1.1094,0.6953,-0.3590,2.4577,2.55,0.1106
1,x2,1,1.3447,0.7582,-0.0583,3.0405,3.15,0.0761
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.1118,0.5345,-3.3789,-1.2192,15.61,<.0001
2,x1,1,0.5993,1.5492,-4.3273,3.1081,0.15,0.6988
2,x2,1,0.2770,0.8281,-1.5150,1.9133,0.11,0.7380
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.4666,0.5018,-3.6178,-1.6109,24.17,<.0001
3,x1,1,1.9351,0.7060,0.5536,3.3613,7.51,0.0061
3,x2,1,0.0603,0.7060,-1.3212,1.4865,0.01,0.9319
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-4.2841,1.4142,-9.1176,-2.3744,9.18,0.0025
4,x1,1,-0.0024,1.5119,-4.9035,2.3307,0.00,0.9987
4,x2,1,2.3097,1.5119,-0.0234,7.2108,2.33,0.1266
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.2825,0.5318,-3.5387,-1.3919,18.42,<.0001
5,x1,1,3.7287,0.8810,1.9495,5.4428,17.91,<.0001
5,x2,1,-1.8800,0.8074,-3.3015,-0.1205,5.42,0.0199
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.3623,0.5268,-3.6031,-1.4784,20.11,<.0001
6,x1,1,-0.5892,1.4217,-5.2704,1.4568,0.17,0.6786
6,x2,1,0.8735,0.6675,-0.4142,2.2979,1.71,0.1907
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.7689,0.6304,-4.2974,-1.7327,19.29,<.0001
7,x1,1,0.6437,0.9268,-1.5813,2.3082,0.48,0.4873
7,x2,1,0.4717,0.8124,-1.1240,2.2186,0.34,0.5615
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.0043,0.4694,-3.0856,-1.2036,18.23,<.0001
8,x1,1,0.6549,0.8758,-1.5457,2.1298,0.56,0.4546
8,x2,1,0.6401,0.6096,-0.5445,1.9136,1.10,0.2937
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.3770,0.6325,-3.9346,-1.3485,14.12,0.0002
9,x1,1,1.1035,0.8281,-0.6885,2.7399,1.78,0.1827
9,x2,1,0.3210,0.8281,-1.3154,2.1130,0.15,0.6983
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-2.5619,0.6325,-4.1195,-1.5334,16.41,<.0001
10,x1,1,0.5972,1.4907,-4.2895,2.8341,0.16,0.6887
10,x2,1,0.7409,0.7888,-0.7649,2.4874,0.88,0.3476
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-1.7635,0.4253,-2.7284,-1.0298,17.19,<.0001
11,x1,1,1.0119,0.7686,-0.7031,2.4324,1.73,0.1880
11,x2,1,-0.0037,0.6395,-1.3031,1.2637,0.00,0.9953
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-2.3424,0.5345,-3.6095,-1.4498,19.20,<.0001
12,x1,1,-0.7598,1.5492,-5.6865,1.7489,0.24,0.6238
12,x2,1,0.4848,0.8281,-1.3072,2.1212,0.34,0.5582
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-4.2585,1.3911,-8.9553,-2.3648,9.37,0.0022
13,x1,1,0.1377,0.9580,-2.1488,1.8967,0.02,0.8857
13,x2,1,2.7787,1.4739,0.5408,7.5341,3.55,0.0594
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.6263,0.6267,-4.1504,-1.5984,17.56,<.0001
14,x1,1,3.0143,0.9196,1.1243,4.8958,10.74,0.0010
14,x2,1,-1.1696,1.0107,-3.4870,0.7235,1.34,0.2472
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-3.5069,0.8195,-5.6194,-2.2102,18.31,<.0001
15,x1,1,1.3047,0.8084,-0.4350,2.8928,2.60,0.1065
15,x2,1,1.6541,0.9217,0.0007,3.8705,3.22,0.0727
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.3034,0.4877,-3.4160,-1.4678,22.31,<.0001
16,x1,1,1.2410,0.7307,-0.4093,2.5818,2.88,0.0894
16,x2,1,0.5910,0.6542,-0.7321,1.9171,0.82,0.3664
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
