isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-2.8614,0.3650,-3.6718,-2.2210,61.46,<.0001
1,x1,1,0.3394,0.6076,-1.0206,1.4342,0.31,0.5765
1,x2,1,0.9574,0.4807,0.0243,1.9404,3.97,0.0464
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.6691,0.3425,-3.4243,-2.0650,60.74,<.0001
2,x1,1,-0.4401,0.6701,-2.0410,0.6991,0.43,0.5113
2,x2,1,1.4134,0.4174,0.6231,2.2827,11.46,0.0007
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.6017,0.3243,-3.3125,-2.0268,64.35,<.0001
3,x1,1,-0.4460,0.7169,-2.1067,0.8314,0.39,0.5339
3,x2,1,0.8021,0.4707,-0.1432,1.7340,2.90,0.0884
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.5834,0.3226,-3.2884,-2.0106,64.15,<.0001
4,x1,1,-0.7846,1.4134,-5.4898,1.2067,0.31,0.5788
4,x2,1,0.0052,0.5614,-1.1970,1.0616,0.00,0.9926
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.0691,0.2534,-2.6103,-1.6103,66.68,<.0001
5,x1,1,-1.5925,1.4288,-6.3963,0.4022,1.24,0.2650
5,x2,1,0.3231,0.3974,-0.4842,1.0929,0.66,0.4162
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-3.0238,0.4260,-3.9905,-2.2889,50.38,<.0001
6,x1,1,0.1359,0.6099,-1.2265,1.2389,0.05,0.8237
6,x2,1,1.1811,0.5265,0.1837,2.2918,5.03,0.0249
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.6109,0.3629,-3.4169,-1.9744,51.76,<.0001
7,x1,1,-1.2433,1.4179,-6.0175,0.7225,0.77,0.3806
7,x2,1,0.9456,0.4456,0.0994,1.8750,4.50,0.0338
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.0390,0.2551,-2.5832,-1.5765,63.87,<.0001
8,x1,1,-0.2811,0.6612,-1.8659,0.8363,0.18,0.6707
8,x2,1,0.3253,0.3716,-0.4167,1.0556,0.77,0.3813
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.6286,0.3429,-3.3852,-2.0241,58.77,<.0001
9,x1,1,-0.5706,0.5382,-1.7540,0.4091,1.12,0.2890
9,x2,1,1.3993,0.4309,0.5745,2.2891,10.55,0.0012
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-3.0274,0.4227,-3.9866,-2.2983,51.29,<.0001
10,x1,1,-1.0227,1.4263,-5.7599,1.0049,0.51,0.4733
10,x2,1,0.7984,0.5703,-0.3279,1.9656,1.96,0.1615
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-1.9412,0.2415,-2.4536,-1.5016,64.62,<.0001
11,x1,1,-0.1793,0.6741,-1.7748,0.9761,0.07,0.7903
11,x2,1,-0.4769,0.4621,-1.4571,0.3836,1.06,0.3021
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-2.0995,0.2531,-2.6399,-1.6411,68.82,<.0001
12,x1,1,-1.4133,1.4222,-6.1798,0.5750,0.99,0.3203
12,x2,1,-0.0069,0.4401,-0.9251,0.8271,0.00,0.9874
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-2.2788,0.2819,-2.8871,-1.7726,65.33,<.0001
13,x1,1,-1.8303,1.4291,-6.6261,0.1709,1.64,0.2003
13,x2,1,0.4808,0.4274,-0.3838,1.3156,1.27,0.2605
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.5663,0.3240,-3.2763,-1.9920,62.74,<.0001
14,x1,1,-1.5193,1.4329,-6.3509,0.4768,1.12,0.2890
14,x2,1,1.0997,0.4165,0.2958,1.9513,6.97,0.0083
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-2.6764,0.3410,-3.4278,-2.0745,61.60,<.0001
15,x1,1,-0.9565,1.4318,-5.7079,1.0844,0.45,0.5041
15,x2,1,0.2745,0.5397,-0.8447,1.3192,0.26,0.6110
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.1202,0.2623,-2.6819,-1.6464,65.36,<.0001
16,x1,1,-0.7533,0.8456,-2.9386,0.6121,0.79,0.3730
16,x2,1,0.4137,0.3870,-0.3608,1.1736,1.14,0.2851
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-2.5073,0.2947,-3.1462,-1.9803,72.39,<.0001
17,x1,1,-0.6854,0.6883,-2.3109,0.5059,0.99,0.3193
17,x2,1,1.2257,0.4063,0.4252,2.0385,9.10,0.0026
17,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-2.5291,0.3081,-3.2003,-1.9803,67.38,<.0001
18,x1,1,-1.8598,1.4491,-6.6924,0.2099,1.65,0.1994
18,x2,1,0.6028,0.4764,-0.3711,1.5297,1.60,0.2057
18,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
19,Intercept,1,-2.4520,0.2992,-3.0983,-1.9155,67.16,<.0001
19,x1,1,0.4311,0.5456,-0.7589,1.4287,0.62,0.4295
19,x2,1,0.3447,0.4490,-0.5599,1.2234,0.59,0.4427
19,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-2.6659,0.3242,-3.3757,-2.0907,67.62,<.0001
20,x1,1,0.0275,0.6033,-1.3280,1.1096,0.00,0.9637
20,x2,1,0.9227,0.4440,0.0509,1.8160,4.32,0.0377
20,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
21,Intercept,1,-2.4790,0.3080,-3.1500,-1.9304,64.78,<.0001
21,x1,1,-1.4296,1.4525,-6.2577,0.6578,0.97,0.3250
21,x2,1,0.3624,0.4968,-0.6665,1.3188,0.53,0.4657
21,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
22,Intercept,1,-2.7017,0.3423,-3.4567,-2.0981,62.30,<.0001
22,x1,1,-1.5866,1.4407,-6.4132,0.4485,1.21,0.2708
22,x2,1,0.8316,0.4704,-0.0975,1.7787,3.13,0.0771
22,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
23,Intercept,1,-3.3670,0.4708,-4.4560,-2.5667,51.15,<.0001
23,x1,1,-0.1319,0.5880,-1.4689,0.9089,0.05,0.8225
23,x2,1,2.0210,0.5322,1.0572,3.1954,14.42,0.0001
23,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
24,Intercept,1,-2.2893,0.2828,-2.8993,-1.7814,65.52,<.0001
24,x1,1,-0.0100,0.6051,-1.3680,1.0757,0.00,0.9868
24,x2,1,0.4481,0.4255,-0.4061,1.2822,1.11,0.2923
24,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
25,Intercept,1,-2.3087,0.2713,-2.8920,-1.8200,72.39,<.0001
25,x1,1,-1.1861,1.4310,-5.9807,0.8241,0.69,0.4072
25,x2,1,0.4223,0.4346,-0.4687,1.2605,0.94,0.3313
25,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
26,Intercept,1,-2.4979,0.2945,-3.1356,-1.9706,71.92,<.0001
26,x1,1,-0.2921,0.8664,-2.4895,1.1426,0.11,0.7360
26,x2,1,0.2036,0.4949,-0.8259,1.1482,0.17,0.6809
26,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
27,Intercept,1,-2.6564,0.3425,-3.4111,-2.0518,60.15,<.0001
27,x1,1,-0.1091,0.7008,-1.7443,1.1198,0.02,0.8763
27,x2,1,0.5552,0.4832,-0.4040,1.5217,1.32,0.2506
27,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
28,Intercept,1,-2.3544,0.2718,-2.9387,-1.8650,75.06,<.0001
