isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
1,Intercept,1,-2.9683,0.4082,-3.7684,-2.1681,52.86,<.0001
1,x1,1,-24.2521,116933.6,-229210,229161.3,0.00,0.9998
1,x2,1,1.0620,0.5270,0.0290,2.0950,4.06,0.0439
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.1504,0.2673,-2.6743,-1.6266,64.74,<.0001
2,x1,1,-23.5794,116615.3,-228585,228538.3,0.00,0.9998
2,x2,1,-0.6330,0.5669,-1.7442,0.4782,1.25,0.2642
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-3.2874,0.5001,-4.2675,-2.3072,43.21,<.0001
3,x1,1,-1.4574,1.0306,-3.4774,0.5626,2.00,0.1573
3,x2,1,1.7478,0.5615,0.6472,2.8484,9.69,0.0019
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.4190,0.2887,-2.9848,-1.8532,70.22,<.0001
4,x1,1,-24.5668,132693.6,-260099,260050.1,0.00,0.9999
4,x2,1,0.2709,0.5323,-0.7723,1.3142,0.26,0.6108
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.8036,0.3780,-3.5444,-2.0628,55.02,<.0001
5,x1,1,-24.1413,107071.6,-209881,209832.3,0.00,0.9998
5,x2,1,0.8260,0.5040,-0.1617,1.8137,2.69,0.1012
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.5796,0.3187,-3.2042,-1.9551,65.54,<.0001
6,x1,1,-0.2691,1.0618,-2.3502,1.8120,0.06,0.8000
6,x2,1,-0.1335,0.6053,-1.3199,1.0529,0.05,0.8255
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.3269,0.2774,-2.8705,-1.7833,70.39,<.0001
7,x1,1,-24.0782,130173.3,-255159,255111.0,0.00,0.9999
7,x2,1,0.2038,0.4688,-0.7151,1.1226,0.19,0.6638
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.3156,0.2673,-2.8395,-1.7918,75.07,<.0001
8,x1,1,-24.5218,125669.4,-246332,246282.9,0.00,0.9998
8,x2,1,0.4834,0.4272,-0.3540,1.3208,1.28,0.2579
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-3.0219,0.4082,-3.8220,-2.2217,54.79,<.0001
9,x1,1,-24.2631,118397.0,-232078,232029.6,0.00,0.9998
9,x2,1,1.1305,0.5401,0.0720,2.1890,4.38,0.0363
