isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-2.6532,0.5345,-3.9204,-1.7607,24.64,<.0001
1,x1,1,0.9873,1.6330,-3.9957,3.9183,0.37,0.5454
1,x2,1,0.3205,0.9759,-2.0132,2.1250,0.11,0.7426
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.8231,0.6282,-4.3671,-1.8001,20.20,<.0001
2,x1,1,-0.9403,1.4683,-5.7468,1.2366,0.41,0.5219
2,x2,1,1.6898,0.7812,0.2051,3.4197,4.68,0.0305
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.1397,0.4695,-3.2207,-1.3387,20.77,<.0001
3,x1,1,0.7671,0.8861,-1.4414,2.2756,0.75,0.3866
3,x2,1,0.7167,0.6335,-0.5357,2.0219,1.28,0.2580
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.6282,0.6257,-4.1634,-1.6079,17.65,<.0001
4,x1,1,-0.5667,1.4547,-5.3243,1.5784,0.15,0.6968
4,x2,1,1.0743,0.7764,-0.3999,2.7932,1.91,0.1665
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.2954,0.4714,-3.3864,-1.4944,23.71,<.0001
5,x1,1,0.6018,0.9759,-1.7319,2.4063,0.38,0.5375
5,x2,1,0.5099,0.7127,-0.9872,1.9219,0.51,0.4743
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.2123,0.4655,-3.2832,-1.4181,22.59,<.0001
6,x1,1,-0.4103,1.4318,-5.0280,1.7143,0.08,0.7744
6,x2,1,0.3547,0.7628,-1.3062,1.8195,0.22,0.6419
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.2974,0.4751,-3.3898,-1.4872,23.38,<.0001
7,x1,1,1.3966,1.0522,-0.9545,3.2848,1.76,0.1844
7,x2,1,-0.7463,1.0522,-3.0974,1.1419,0.50,0.4782
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.8248,0.6397,-4.3641,-1.7696,19.50,<.0001
8,x1,1,0.8963,0.8900,-1.2827,2.4552,1.01,0.3139
8,x2,1,1.2433,0.7621,-0.2106,2.9214,2.66,0.1028
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.7683,0.6294,-4.3049,-1.7376,19.35,<.0001
9,x1,1,0.6151,0.7727,-1.0979,2.0654,0.63,0.4260
9,x2,1,0.9089,0.7727,-0.5413,2.6219,1.38,0.2394
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-1.7591,0.4238,-2.7220,-1.0289,17.23,<.0001
10,x1,1,-2.2841,1.4538,-7.0612,-0.1602,2.47,0.1162
10,x2,1,0.7941,0.6280,-0.4945,2.0414,1.60,0.2060
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-2.3988,0.5330,-3.6614,-1.5085,20.26,<.0001
11,x1,1,-0.3599,1.5320,-5.2353,2.0764,0.06,0.8143
11,x2,1,0.4973,0.8238,-1.2707,2.1274,0.36,0.5461
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-2.1362,0.5261,-3.3745,-1.2533,16.49,<.0001
12,x1,1,0.4949,1.4702,-4.0709,2.7926,0.11,0.7364
12,x2,1,-0.7872,0.9371,-2.9327,0.9666,0.71,0.4009
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-2.1484,0.5275,-3.3932,-1.2644,16.58,<.0001
13,x1,1,-0.1866,1.5134,-4.8523,2.2278,0.02,0.9019
13,x2,1,-0.3243,0.9483,-2.4880,1.4470,0.12,0.7324
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.2772,0.5329,-3.5391,-1.3866,18.26,<.0001
14,x1,1,0.3706,0.8103,-1.3982,1.9317,0.21,0.6474
14,x2,1,0.5599,0.7406,-0.9244,2.0910,0.57,0.4496
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-2.7307,0.6269,-4.2654,-1.7063,18.98,<.0001
15,x1,1,-0.1201,0.9293,-2.3756,1.5276,0.02,0.8972
15,x2,1,1.2182,0.7928,-0.2986,2.9559,2.36,0.1244
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.4462,0.5321,-3.7060,-1.5570,21.14,<.0001
16,x1,1,-0.4813,1.4895,-5.3123,1.7772,0.10,0.7466
16,x2,1,0.7304,0.7501,-0.7975,2.2705,0.95,0.3302
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-2.1304,0.4654,-3.2006,-1.3360,20.95,<.0001
17,x1,1,-0.4363,1.4209,-5.0788,1.6306,0.09,0.7588
17,x2,1,0.2650,0.6918,-1.1779,1.6380,0.15,0.7017
17,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-2.1227,0.4714,-3.2136,-1.3216,20.28,<.0001
18,x1,1,-0.6273,1.4907,-5.5139,1.6097,0.18,0.6739
18,x2,1,0.6630,0.6667,-0.6906,2.0166,0.99,0.3200
18,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
19,Intercept,1,-2.4946,0.6311,-4.0481,-1.4678,15.62,<.0001
19,x1,1,-1.8286,1.4710,-6.6830,0.3320,1.55,0.2138
19,x2,1,1.3923,0.7606,-0.0237,3.1034,3.35,0.0672
19,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-3.2410,0.8165,-5.4069,-1.9751,15.76,<.0001
20,x1,1,-0.5150,1.4907,-5.4017,1.7219,0.12,0.7297
20,x2,1,1.7959,0.9428,0.1101,4.0956,3.63,0.0568
20,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
21,Intercept,1,-2.8068,0.6326,-4.3379,-1.7659,19.69,<.0001
21,x1,1,0.4832,0.8955,-1.7094,2.0518,0.29,0.5895
21,x2,1,1.2882,0.7666,-0.1717,2.9779,2.82,0.0929
21,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
22,Intercept,1,-3.5862,0.8084,-5.6907,-2.3163,19.68,<.0001
22,x1,1,1.5960,0.8782,-0.1037,3.4590,3.30,0.0692
22,x2,1,1.5664,1.0144,-0.3075,3.8975,2.38,0.1226
22,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
23,Intercept,1,-2.9058,0.6325,-4.4635,-1.8773,21.11,<.0001
23,x1,1,0.8856,1.5492,-4.0411,3.3944,0.33,0.5676
23,x2,1,0.5653,1.0328,-1.8260,2.5825,0.30,0.5841
23,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
24,Intercept,1,-3.1656,0.8018,-5.2749,-1.9153,15.59,<.0001
24,x1,1,0.0343,1.4906,-4.6833,2.3713,0.00,0.9817
24,x2,1,1.1736,1.0064,-0.7628,3.5003,1.36,0.2436
24,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
25,Intercept,1,-2.1867,0.5052,-3.3451,-1.3257,18.74,<.0001
25,x1,1,1.0847,0.7823,-0.6199,2.5791,1.92,0.1656
25,x2,1,-0.1536,0.7823,-1.8582,1.3408,0.04,0.8444
25,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
26,Intercept,1,-1.6829,0.3623,-2.4861,-1.0468,21.57,<.0001
26,x1,1,-0.6924,1.4154,-5.3166,1.3554,0.24,0.6247
26,x2,1,-0.0805,0.7082,-1.6848,1.2076,0.01,0.9095
26,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
27,Intercept,1,-4.5438,1.3941,-9.1136,-2.5896,10.62,0.0011
27,x1,1,1.3634,0.7964,-0.3520,2.9317,2.93,0.0869
27,x2,1,2.7560,1.4207,0.6475,7.3425,3.76,0.0524
27,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
28,Intercept,1,-2.6878,0.6216,-4.2070,-1.6712,18.70,<.0001
