isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-2.4714,0.2831,-3.0819,-1.9629,76.22,<.0001
1,x1,1,0.1637,0.5425,-1.0243,1.1520,0.09,0.7629
1,x2,1,0.8706,0.4094,0.0574,1.6804,4.52,0.0335
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.3169,0.2950,-2.9558,-1.7889,61.69,<.0001
2,x1,1,1.3111,0.5286,0.1949,2.3069,6.15,0.0131
2,x2,1,0.0858,0.4431,-0.8014,0.9562,0.04,0.8464
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.5628,0.3242,-3.2730,-1.9880,62.50,<.0001
3,x1,1,0.1130,0.5367,-1.0139,1.1358,0.04,0.8333
3,x2,1,0.8477,0.4633,-0.0745,1.7697,3.35,0.0673
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.3598,0.2870,-2.9772,-1.8435,67.60,<.0001
4,x1,1,0.1525,0.6602,-1.4285,1.2703,0.05,0.8174
4,x2,1,0.5926,0.3961,-0.1934,1.3789,2.24,0.1346
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.6319,0.3426,-3.3875,-2.0276,59.01,<.0001
5,x1,1,0.5572,0.5618,-0.6048,1.6457,0.98,0.3213
5,x2,1,0.3933,0.5057,-0.6226,1.3934,0.60,0.4367
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-3.1528,0.4012,-4.0467,-2.4511,61.77,<.0001
6,x1,1,1.0483,0.4819,0.0631,1.9815,4.73,0.0296
6,x2,1,1.0926,0.4966,0.1452,2.1251,4.84,0.0278
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-3.1032,0.4263,-4.0705,-2.3676,52.98,<.0001
7,x1,1,1.3495,0.5874,0.1512,2.4994,5.28,0.0216
7,x2,1,0.6250,0.5874,-0.5249,1.8233,1.13,0.2874
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.9917,0.3916,-3.8703,-2.3103,58.37,<.0001
8,x1,1,0.9170,0.6317,-0.3928,2.1445,2.11,0.1466
8,x2,1,0.6128,0.5821,-0.5591,1.7676,1.11,0.2925
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.9728,0.3721,-3.7956,-2.3183,63.82,<.0001
9,x1,1,1.1644,0.6110,-0.1181,2.3248,3.63,0.0567
9,x2,1,0.1987,0.5711,-0.9563,1.3173,0.12,0.7279
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-2.4368,0.2960,-3.0774,-1.9067,67.79,<.0001
10,x1,1,0.9387,0.4830,-0.0508,1.8673,3.78,0.0519
10,x2,1,0.4289,0.4432,-0.4536,1.3012,0.94,0.3333
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-3.3955,0.4712,-4.4826,-2.5925,51.93,<.0001
11,x1,1,0.4413,0.5387,-0.7397,1.4240,0.67,0.4127
11,x2,1,1.6019,0.5387,0.6192,2.7830,8.84,0.0029
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-2.4306,0.2991,-3.0765,-1.8941,66.05,<.0001
12,x1,1,1.0044,0.4851,-0.0473,1.8914,4.29,0.0384
12,x2,1,0.6335,0.3986,-0.1462,1.4345,2.53,0.1120
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-2.2933,0.2637,-2.8577,-1.8165,75.62,<.0001
13,x1,1,1.0293,0.4651,0.0664,1.9133,4.90,0.0269
13,x2,1,0.4178,0.4063,-0.3950,1.2114,1.06,0.3038
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.8171,0.3432,-3.5725,-2.2108,67.38,<.0001
14,x1,1,0.1877,0.6794,-1.4190,1.3577,0.08,0.7823
14,x2,1,1.1656,0.4537,0.2815,2.0878,6.60,0.0102
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-2.5959,0.3083,-3.2674,-2.0465,70.88,<.0001
15,x1,1,0.1140,0.5866,-1.2203,1.1504,0.04,0.8460
15,x2,1,1.1420,0.4032,0.3609,1.9609,8.02,0.0046
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.1055,0.2592,-2.6578,-1.6353,65.97,<.0001
