isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
1,Intercept,1,-28.7952,1.0000,-30.7552,-26.8353,829.17,<.0001
1,x1,1,2.3382,1.2247,-0.0622,4.7387,3.64,0.0562
1,x2,0,25.7441,0.0000,25.7441,25.7441,,
1,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-28.6465,0.7071,-30.0324,-27.2606,1641.25,<.0001
2,x1,1,1.2393,1.0000,-0.7207,3.1992,1.54,0.2152
2,x2,0,26.7549,0.0000,26.7549,26.7549,,
2,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-3.1812,0.7171,-4.5868,-1.7757,19.68,<.0001
3,x1,1,2.0028,0.9025,0.2340,3.7717,4.93,0.0265
3,x2,1,0.9073,1.0090,-1.0704,2.8849,0.81,0.3686
3,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-4.0180,1.0130,-6.0034,-2.0326,15.73,<.0001
4,x1,1,3.8002,1.1065,1.6315,5.9688,11.80,0.0006
4,x2,1,-0.3076,0.8748,-2.0221,1.4069,0.12,0.7251
4,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-28.4764,0.7071,-29.8623,-27.0905,1621.81,<.0001
5,x1,1,1.7344,0.9129,-0.0548,3.5236,3.61,0.0574
5,x2,0,26.4345,0.0000,26.4345,26.4345,,
5,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-3.4962,0.7755,-5.0162,-1.9762,20.32,<.0001
6,x1,1,2.4440,0.8556,0.7671,4.1209,8.16,0.0043
6,x2,1,0.8624,0.7810,-0.6684,2.3931,1.22,0.2695
6,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.2157,0.4744,-3.1455,-1.2859,21.81,<.0001
7,x1,1,2.2444,0.7331,0.8075,3.6813,9.37,0.0022
7,x2,1,-0.7862,1.0732,-2.8896,1.3173,0.54,0.4638
7,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-4.3811,1.0774,-6.4926,-2.2695,16.54,<.0001
8,x1,1,3.7433,1.0794,1.6278,5.8588,12.03,0.0005
8,x2,1,0.8396,0.7920,-0.7127,2.3920,1.12,0.2891
8,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-3.5589,0.6729,-4.8778,-2.2401,27.97,<.0001
9,x1,1,2.3835,0.6028,1.2020,3.5650,15.63,<.0001
9,x2,1,2.1319,0.6028,0.9504,3.3134,12.51,0.0004
9,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
