isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
1,Intercept,1,-2.5664,0.3162,-3.1862,-1.9466,65.87,<.0001
1,x1,1,-23.4265,112401.5,-220326,220279.4,0.00,0.9998
1,x2,1,-0.0167,0.5916,-1.1762,1.1428,0.00,0.9775
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.6761,0.3346,-3.3319,-2.0204,63.98,<.0001
2,x1,1,-0.6482,1.0412,-2.6888,1.3924,0.39,0.5336
2,x2,1,0.6424,0.4908,-0.3196,1.6043,1.71,0.1906
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.8306,0.3780,-3.5714,-2.0898,56.09,<.0001
3,x1,1,-24.2660,116184.6,-227742,227693.4,0.00,0.9998
3,x2,1,0.9420,0.5040,-0.0458,1.9297,3.49,0.0616
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.3399,0.3015,-2.9309,-1.7490,60.23,<.0001
4,x1,1,-23.5086,84296.98,-165243,165195.5,0.00,0.9998
4,x2,1,0.9547,0.4029,0.1650,1.7444,5.61,0.0178
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.8704,0.3780,-3.6112,-2.1296,57.68,<.0001
5,x1,1,-24.6123,131254.4,-257278,257229.2,0.00,0.9999
5,x2,1,1.0677,0.4928,0.1019,2.0336,4.69,0.0303
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.5820,0.3555,-3.2788,-1.8852,52.75,<.0001
6,x1,1,-0.8038,1.0351,-2.8326,1.2250,0.60,0.4374
6,x2,1,0.4879,0.4880,-0.4684,1.4443,1.00,0.3173
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.8332,0.3780,-3.5740,-2.0924,56.19,<.0001
7,x1,1,-24.3173,114173.7,-223801,223751.9,0.00,0.9998
7,x2,1,0.9692,0.5040,-0.0185,1.9570,3.70,0.0544
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.5220,0.3162,-3.1418,-1.9022,63.61,<.0001
8,x1,1,-24.1075,110481.1,-216563,216514.8,0.00,0.9998
8,x2,1,0.3558,0.5164,-0.6563,1.3679,0.47,0.4909
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.5766,0.3162,-3.1964,-1.9568,66.39,<.0001
9,x1,1,-24.3155,135201.2,-265014,264965.3,0.00,0.9999
9,x2,1,0.5765,0.4928,-0.3894,1.5424,1.37,0.2421
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-2.5539,0.3333,-3.2073,-1.9006,58.70,<.0001
10,x1,1,-24.2541,108591.0,-212859,212810.1,0.00,0.9998
10,x2,1,0.7312,0.4595,-0.1693,1.6318,2.53,0.1115
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-2.1849,0.2582,-2.6910,-1.6789,71.61,<.0001
11,x1,1,-24.2855,121276.7,-237722,237673.6,0.00,0.9998
11,x2,1,0.5022,0.4216,-0.3242,1.3286,1.42,0.2336
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-2.2574,0.2887,-2.8232,-1.6916,61.15,<.0001
12,x1,1,-23.4325,103171.7,-202236,202189.3,0.00,0.9998
12,x2,1,-0.4125,0.5323,-1.4557,0.6308,0.60,0.4384
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-2.7263,0.3333,-3.3797,-2.0730,66.90,<.0001
13,x1,1,-23.7766,95331.25,-186870,186822.0,0.00,0.9998
13,x2,1,1.0097,0.4595,0.1092,1.9102,4.83,0.0280
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.7167,0.3333,-3.3700,-2.0633,66.42,<.0001
14,x1,1,-24.4050,136501.7,-267563,267514.0,0.00,0.9999
14,x2,1,1.2835,0.4167,0.4668,2.1002,9.49,0.0021
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-3.1081,0.4082,-3.9082,-2.3079,57.96,<.0001
15,x1,1,-24.2915,115696.7,-226786,226737.0,0.00,0.9998
15,x2,1,1.2744,0.5401,0.2159,2.3329,5.57,0.0183
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-1.9351,0.2500,-2.4251,-1.4451,59.91,<.0001
16,x1,1,-23.3477,90120.02,-176655,176608.6,0.00,0.9998
16,x2,1,0.0016,0.4330,-0.8471,0.8503,0.00,0.9971
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-2.8334,0.3780,-3.5742,-2.0926,56.20,<.0001
17,x1,1,-24.3226,139705.9,-273843,273794.2,0.00,0.9999
17,x2,1,0.9965,0.5040,0.0088,1.9843,3.91,0.0480
17,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-2.8696,0.4082,-3.6697,-2.0694,49.41,<.0001
18,x1,1,-25.1838,135742.3,-266075,266024.8,0.00,0.9999
18,x2,1,1.6846,0.4683,0.7667,2.6024,12.94,0.0003
18,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
19,Intercept,1,-2.4455,0.2887,-3.0113,-1.8797,71.77,<.0001
19,x1,1,-24.7654,133650.1,-261974,261924.7,0.00,0.9999
19,x2,1,0.8179,0.4174,-0.0002,1.6361,3.84,0.0501
19,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-2.6223,0.3340,-3.2770,-1.9677,61.64,<.0001
20,x1,1,-0.9107,1.0371,-2.9433,1.1219,0.77,0.3798
20,x2,1,0.7848,0.4638,-0.1242,1.6938,2.86,0.0906
20,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
21,Intercept,1,-2.8548,0.3780,-3.5956,-2.1140,57.05,<.0001
21,x1,1,-24.4931,138724.6,-271920,271870.7,0.00,0.9999
21,x2,1,0.8267,0.5345,-0.2209,1.8744,2.39,0.1220
21,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
22,Intercept,1,-2.6680,0.3536,-3.3610,-1.9751,56.95,<.0001
22,x1,1,-23.6897,110081.4,-215779,215731.9,0.00,0.9998
22,x2,1,-0.0122,0.6124,-1.2125,1.1880,0.00,0.9841
22,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
23,Intercept,1,-2.3795,0.3015,-2.9704,-1.7885,62.28,<.0001
23,x1,1,-24.1320,133392.2,-261468,261419.7,0.00,0.9999
23,x2,1,0.1460,0.4835,-0.8016,1.0937,0.09,0.7626
23,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
24,Intercept,1,-3.0058,0.4082,-3.8060,-2.2057,54.21,<.0001
24,x1,1,-24.8279,169501.4,-332242,332191.9,0.00,0.9999
24,x2,1,0.8811,0.5563,-0.2093,1.9715,2.51,0.1133
24,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
25,Intercept,1,-2.7252,0.3536,-3.4182,-2.0323,59.41,<.0001
25,x1,1,-24.2549,111705.5,-218963,218914.4,0.00,0.9998
25,x2,1,0.8934,0.4743,-0.0363,1.8231,3.55,0.0596
25,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
26,Intercept,1,-2.7251,0.3536,-3.4181,-2.0322,59.41,<.0001
26,x1,1,-24.7014,124838.6,-244704,244654.5,0.00,0.9998
26,x2,1,1.1374,0.4432,0.2688,2.0061,6.59,0.0103
26,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
27,Intercept,1,-2.2926,0.2887,-2.8583,-1.7268,63.07,<.0001
27,x1,1,-24.4819,117615.4,-230547,230497.6,0.00,0.9998
27,x2,1,0.6601,0.4082,-0.1401,1.4602,2.61,0.1059
27,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
28,Intercept,1,-3.2757,0.4472,-4.1523,-2.3992,53.65,<.0001
28,x1,1,-24.6904,107113.6,-209963,209914.1,0.00,0.9998
28,x2,1,1.9888,0.5262,0.9574,3.0202,14.28,0.0002
28,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
