isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
1,Intercept,1,-2.5922,0.3339,-3.2467,-1.9378,60.27,<.0001
1,x1,1,-1.1112,1.0381,-3.1458,0.9234,1.15,0.2844
1,x2,1,0.7637,0.4642,-0.1461,1.6736,2.71,0.0999
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.5351,0.3214,-3.1650,-1.9052,62.22,<.0001
2,x1,1,0.5377,0.5265,-0.4943,1.5697,1.04,0.3072
2,x2,1,0.4068,0.4431,-0.4617,1.2754,0.84,0.3586
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-3.2700,0.4485,-4.1491,-2.3909,53.16,<.0001
3,x1,1,0.2951,0.6825,-1.0425,1.6327,0.19,0.6655
3,x2,1,1.1557,0.5844,0.0103,2.3012,3.91,0.0480
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.5392,0.3162,-3.1590,-1.9194,64.48,<.0001
4,x1,1,-24.3800,149229.6,-292509,292460.2,0.00,0.9999
4,x2,1,0.5029,0.4743,-0.4268,1.4326,1.12,0.2890
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.7393,0.3338,-3.3934,-2.0851,67.36,<.0001
5,x1,1,0.0650,0.7823,-1.4682,1.5983,0.01,0.9337
5,x2,1,0.8112,0.4917,-0.1525,1.7749,2.72,0.0990
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.2287,0.2738,-2.7653,-1.6922,66.28,<.0001
6,x1,1,1.3936,0.4394,0.5323,2.2548,10.06,0.0015
6,x2,1,-0.1492,0.4105,-0.9537,0.6554,0.13,0.7163
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.8622,0.3543,-3.5566,-2.1677,65.26,<.0001
7,x1,1,0.6510,0.5991,-0.5233,1.8252,1.18,0.2772
7,x2,1,0.6653,0.5400,-0.3932,1.7237,1.52,0.2180
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.7232,0.3366,-3.3829,-2.0635,65.46,<.0001
8,x1,1,-0.2586,1.0411,-2.2990,1.7819,0.06,0.8039
8,x2,1,0.4843,0.5301,-0.5547,1.5232,0.83,0.3609
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.1590,0.2779,-2.7036,-1.6144,60.37,<.0001
9,x1,1,-0.4699,0.7745,-1.9878,1.0480,0.37,0.5440
9,x2,1,0.1262,0.4528,-0.7614,1.0137,0.08,0.7805
