isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-3.1924,0.8155,-5.3545,-1.9277,15.33,<.0001
1,x1,1,0.0610,1.5453,-4.8517,2.5554,0.00,0.9685
1,x2,1,1.0880,1.0311,-0.9220,3.4753,1.11,0.2914
1,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.4588,0.6284,-3.9976,-1.4320,15.31,<.0001
2,x1,1,0.0288,0.7850,-1.7029,1.5119,0.00,0.9707
2,x2,1,1.0652,0.7850,-0.4179,2.7969,1.84,0.1748
2,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.2915,0.5320,-3.5459,-1.3993,18.55,<.0001
3,x1,1,0.0711,0.8190,-1.7020,1.6372,0.01,0.9308
3,x2,1,1.0955,0.7620,-0.4302,2.6524,2.07,0.1505
3,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.7989,0.6887,-4.4574,-1.6698,16.52,<.0001
4,x1,1,1.8212,0.8408,0.1710,3.6016,4.69,0.0303
4,x2,1,-0.0500,0.8408,-1.7003,1.7304,0.00,0.9526
4,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.4231,0.6265,-3.9526,-1.3975,14.96,0.0001
5,x1,1,-0.1323,0.9563,-2.4060,1.6032,0.02,0.8900
5,x2,1,0.6624,0.8357,-0.9852,2.4473,0.63,0.4280
5,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-3.1863,0.8164,-5.3516,-1.9205,15.23,<.0001
6,x1,1,0.1859,1.5114,-4.7135,2.5176,0.02,0.9021
6,x2,1,1.3737,0.9757,-0.4301,3.7069,1.98,0.1591
6,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.9102,0.6357,-4.3856,-1.8475,20.96,<.0001
7,x1,1,1.6283,0.8029,-0.0969,3.2092,4.11,0.0426
7,x2,1,0.5429,0.8029,-1.1824,2.1237,0.46,0.4990
7,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
