isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-2.7115,0.6193,-4.2174,-1.6958,19.17,<.0001
1,x1,1,-0.1461,1.4238,-4.7451,1.9674,0.01,0.9183
1,x2,1,0.9401,0.7977,-0.6285,2.6607,1.39,0.2386
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.3585,0.5288,-3.6077,-1.4730,19.89,<.0001
2,x1,1,-0.5254,1.4448,-5.2607,1.5873,0.13,0.7161
2,x2,1,0.9678,0.7000,-0.4102,2.4398,1.91,0.1668
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-1.8721,0.4264,-2.8423,-1.1382,19.28,<.0001
3,x1,1,-1.1053,1.5119,-6.0064,1.2278,0.53,0.4647
3,x2,1,0.3270,0.6838,-1.1341,1.6492,0.23,0.6325
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.7812,0.6262,-4.2908,-1.7546,19.73,<.0001
4,x1,1,0.7549,1.4470,-3.8048,3.0034,0.27,0.6019
4,x2,1,0.2383,0.9855,-2.0303,2.1402,0.06,0.8089
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.1078,0.4661,-3.1774,-1.3119,20.45,<.0001
5,x1,1,0.4591,1.4161,-4.1407,2.5356,0.11,0.7458
5,x2,1,0.1874,0.7609,-1.4843,1.6414,0.06,0.8054
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.4666,0.5312,-3.7239,-1.5784,21.56,<.0001
6,x1,1,1.0589,1.4817,-3.7480,3.2942,0.51,0.4748
6,x2,1,0.9344,0.7480,-0.5870,2.4708,1.56,0.2116
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.4754,0.6198,-3.9855,-1.4600,15.95,<.0001
7,x1,1,0.0676,1.4437,-4.5328,2.2645,0.00,0.9627
7,x2,1,0.6980,0.8605,-1.0705,2.4971,0.66,0.4172
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.0639,0.4684,-3.1460,-1.2670,19.42,<.0001
8,x1,1,-0.6480,1.4725,-5.4330,1.5550,0.19,0.6599
8,x2,1,0.4041,0.7037,-1.0597,1.8020,0.33,0.5659
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.3689,0.5326,-3.6303,-1.4791,19.79,<.0001
9,x1,1,-1.0747,1.4941,-5.9201,1.1982,0.52,0.4720
9,x2,1,0.7794,0.7513,-0.7526,2.3217,1.08,0.2995
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-2.2301,0.4687,-3.3133,-1.4327,22.64,<.0001
10,x1,1,-1.2480,1.4448,-6.0417,0.8272,0.75,0.3877
10,x2,1,1.4076,0.6077,0.2286,2.6810,5.37,0.0205
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-2.6249,0.6300,-4.1747,-1.5997,17.36,<.0001
11,x1,1,-0.6202,1.6102,-5.5355,2.1703,0.15,0.7001
11,x2,1,0.4833,1.0267,-1.8460,2.4919,0.22,0.6378
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-1.7784,0.3888,-2.6480,-1.1008,20.93,<.0001
12,x1,1,-0.6377,1.4153,-5.2971,1.3924,0.20,0.6523
12,x2,1,0.0653,0.6457,-1.3234,1.2946,0.01,0.9195
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-3.2417,0.8143,-5.3997,-1.9784,15.85,<.0001
13,x1,1,-0.7138,1.5047,-5.5875,1.5987,0.23,0.6352
13,x2,1,2.1660,0.9726,0.3715,4.4911,4.96,0.0259
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.7358,0.6189,-4.2421,-1.7213,19.54,<.0001
14,x1,1,0.2512,1.4684,-4.2812,2.5793,0.03,0.8642
14,x2,1,0.5837,0.9844,-1.6057,2.5225,0.35,0.5532
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-1.9711,0.4250,-2.9337,-1.2378,21.51,<.0001
15,x1,1,-0.0805,1.3679,-4.2644,2.0152,0.00,0.9531
15,x2,1,-1.6899,1.3679,-5.8738,0.4057,1.53,0.2167
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-1.9440,0.3978,-2.8323,-1.2500,23.88,<.0001
16,x1,1,0.7834,0.7711,-0.9260,2.1984,1.03,0.3097
16,x2,1,-0.0008,0.6969,-1.4796,1.3168,0.00,0.9991
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-2.1902,0.4664,-3.2659,-1.3957,22.05,<.0001
17,x1,1,0.1303,1.5084,-4.5360,2.5138,0.01,0.9312
17,x2,1,-0.5099,0.9177,-2.6432,1.1505,0.31,0.5785
17,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-2.2906,0.5285,-3.5388,-1.4055,18.78,<.0001
18,x1,1,-0.5983,1.4772,-5.3165,1.6606,0.16,0.6854
18,x2,1,0.4187,0.8097,-1.3001,2.0262,0.27,0.6051
18,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
19,Intercept,1,-2.1320,0.4660,-3.2058,-1.3375,20.93,<.0001
19,x1,1,0.2542,1.4360,-4.4276,2.3589,0.03,0.8595
19,x2,1,0.2094,0.6952,-1.2361,1.5913,0.09,0.7633
19,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-2.2230,0.5279,-3.4624,-1.3367,17.73,<.0001
20,x1,1,0.6185,1.4309,-3.4101,2.9399,0.19,0.6656
20,x2,1,-1.1560,1.4309,-5.1845,1.1654,0.65,0.4191
20,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
21,Intercept,1,-2.7641,0.6304,-4.3153,-1.7384,19.23,<.0001
21,x1,1,-1.1741,1.4996,-6.0338,1.1195,0.61,0.4336
21,x2,1,1.4294,0.8241,-0.1926,3.2135,3.01,0.0828
21,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
