isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
1,Intercept,1,-3.1054,0.7168,-4.5102,-1.7005,18.77,<.0001
1,x1,1,1.0583,0.7568,-0.4251,2.5416,1.96,0.1620
1,x2,1,1.4744,0.8462,-0.1841,3.1328,3.04,0.0814
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.2659,0.5774,-3.3975,-1.1343,15.40,<.0001
2,x1,1,-23.3741,253945.3,-497747,497700.3,0.00,0.9999
2,x2,1,0.2080,0.9129,-1.5812,1.9972,0.05,0.8198
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.6423,0.5469,-3.7142,-1.5703,23.34,<.0001
3,x1,1,1.9546,0.7634,0.4583,3.4509,6.55,0.0105
3,x2,1,0.0798,0.7634,-1.4165,1.5761,0.01,0.9168
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-28.4513,0.5774,-29.5829,-27.3197,2428.43,<.0001
4,x1,1,-26.6278,923905.4,-1810848,1810795,0.00,1.0000
4,x2,0,26.3227,0.0000,26.3227,26.3227,,
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.4684,0.5811,-3.6074,-1.3293,18.04,<.0001
5,x1,1,3.6644,0.9682,1.7667,5.5621,14.32,0.0002
5,x2,1,-1.7022,0.8894,-3.4454,0.0410,3.66,0.0556
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.5150,0.5774,-3.6466,-1.3834,18.98,<.0001
6,x1,1,-23.5974,144567.4,-283370,283323.3,0.00,0.9999
6,x2,1,0.9344,0.7303,-0.4970,2.3657,1.64,0.2007
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-3.0110,0.7196,-4.4213,-1.6006,17.51,<.0001
7,x1,1,0.3633,1.1342,-1.8597,2.5863,0.10,0.7487
7,x2,1,0.5423,0.9261,-1.2728,2.3574,0.34,0.5582
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.1267,0.5027,-3.1119,-1.1414,17.90,<.0001
8,x1,1,0.3112,1.0645,-1.7752,2.3975,0.09,0.7700
8,x2,1,0.6780,0.6519,-0.5997,1.9556,1.08,0.2983
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.6001,0.7071,-3.9860,-1.2142,13.52,0.0002
9,x1,1,1.0345,0.9129,-0.7547,2.8237,1.28,0.2571
9,x2,1,0.3900,0.9129,-1.3992,2.1792,0.18,0.6692
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-2.7850,0.7071,-4.1709,-1.3991,15.51,<.0001
10,x1,1,-23.1109,210979.9,-413536,413489.9,0.00,0.9999
10,x2,1,0.8463,0.8660,-0.8511,2.5436,0.95,0.3285
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-1.8680,0.4493,-2.7487,-0.9874,17.29,<.0001
11,x1,1,0.8853,0.8520,-0.7846,2.5551,1.08,0.2988
11,x2,1,-0.0204,0.6816,-1.3563,1.3154,0.00,0.9761
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-2.4965,0.5774,-3.6281,-1.3649,18.70,<.0001
12,x1,1,-24.6874,248194.1,-486476,486426.9,0.00,0.9999
12,x2,1,0.4158,0.9129,-1.3734,2.2050,0.21,0.6487
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-28.3563,0.5774,-29.4879,-27.2247,2412.24,<.0001
13,x1,1,-0.1213,1.1547,-2.3844,2.1419,0.01,0.9164
13,x2,0,26.7283,0.0000,26.7283,26.7283,,
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.8814,0.7170,-4.2867,-1.4761,16.15,<.0001
14,x1,1,2.9988,1.0699,0.9019,5.0958,7.86,0.0051
14,x2,1,-1.3746,1.2354,-3.7960,1.0467,1.24,0.2658
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-3.9602,1.0278,-5.9746,-1.9459,14.85,0.0001
15,x1,1,1.2333,0.9227,-0.5752,3.0419,1.79,0.1814
15,x2,1,1.9370,1.1301,-0.2780,4.1520,2.94,0.0865
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.4387,0.5255,-3.4687,-1.4087,21.53,<.0001
16,x1,1,1.1000,0.8228,-0.5126,2.7126,1.79,0.1813
16,x2,1,0.5922,0.7125,-0.8044,1.9887,0.69,0.4059
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-2.3771,0.5774,-3.5087,-1.2455,16.95,<.0001
17,x1,1,-23.4899,277456.3,-543828,543780.8,0.00,0.9999
17,x2,1,-0.3310,1.1547,-2.5941,1.9322,0.08,0.7744
17,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-2.7000,0.5429,-3.7642,-1.6359,24.73,<.0001
18,x1,1,2.0932,0.9081,0.3134,3.8731,5.31,0.0212
