"ncov","Beta1","Intercept"
2,-2.77258872223978,-2.49509063214554
2,-0.693147180559945,-2.5520346832534
2,0,-2.61642685709328
2,0.693147180559945,-2.72681991670563
2,2.77258872223978,-3.68885639064671
