isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-2.1851,0.2714,-2.7686,-1.6964,64.82,<.0001
1,x1,1,-1.6151,1.4331,-6.4152,0.4008,1.27,0.2597
1,x2,1,0.3740,0.4349,-0.5176,1.2127,0.74,0.3898
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.8159,0.3910,-3.6924,-2.1351,51.87,<.0001
2,x1,1,-0.4395,0.8581,-2.6317,0.9712,0.26,0.6086
2,x2,1,0.7481,0.5079,-0.2363,1.7949,2.17,0.1408
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.6815,0.3424,-3.4364,-2.0775,61.33,<.0001
3,x1,1,-0.4326,0.7104,-2.0817,0.8234,0.37,0.5426
3,x2,1,0.7832,0.4890,-0.1915,1.7582,2.57,0.1092
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.1770,0.2818,-2.7850,-1.6710,59.68,<.0001
4,x1,1,-1.4210,1.4258,-6.2073,0.5713,0.99,0.3189
4,x2,1,0.1351,0.4269,-0.7286,0.9690,0.10,0.7517
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-3.2904,0.4668,-4.3671,-2.4952,49.69,<.0001
5,x1,1,-0.6845,1.4245,-5.4218,1.3355,0.23,0.6308
5,x2,1,1.1863,0.5870,0.0622,2.4282,4.08,0.0433
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.9930,0.3915,-3.8710,-2.3114,58.44,<.0001
6,x1,1,0.3380,0.6838,-1.2761,1.5198,0.24,0.6211
6,x2,1,1.1676,0.4864,0.2423,2.1846,5.76,0.0164
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-3.1479,0.4252,-4.1147,-2.4155,54.80,<.0001
7,x1,1,-0.4992,0.8546,-2.6978,0.8935,0.34,0.5591
7,x2,1,1.5941,0.5070,0.6479,2.6779,9.89,0.0017
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.4931,0.3082,-3.1635,-1.9436,65.46,<.0001
8,x1,1,0.4274,0.8679,-1.7715,1.8676,0.24,0.6224
8,x2,1,0.2216,0.5031,-0.8196,1.1881,0.19,0.6596
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-3.0054,0.4258,-3.9741,-2.2724,49.81,<.0001
9,x1,1,-1.3601,1.4551,-6.2077,0.7291,0.87,0.3499
9,x2,1,0.9144,0.5602,-0.1787,2.0727,2.66,0.1026
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-2.3360,0.2945,-2.9737,-1.8087,62.91,<.0001
10,x1,1,-0.6913,0.8472,-2.8735,0.6830,0.67,0.4145
10,x2,1,0.4681,0.4263,-0.3841,1.3102,1.21,0.2722
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-3.2865,0.4697,-4.3727,-2.4878,48.95,<.0001
11,x1,1,-2.0670,1.4307,-6.8809,-0.0692,2.09,0.1485
11,x2,1,1.9508,0.5418,0.9589,3.1369,12.96,0.0003
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-2.9944,0.3916,-3.8739,-2.3136,58.47,<.0001
12,x1,1,-0.9629,0.8659,-3.1769,0.4637,1.24,0.2661
12,x2,1,1.4923,0.4959,0.5417,2.5238,9.06,0.0026
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-2.2544,0.3071,-2.9229,-1.7069,53.88,<.0001
13,x1,1,-1.0914,1.4317,-5.8478,0.9447,0.58,0.4458
13,x2,1,-0.2352,0.5196,-1.3269,0.7532,0.20,0.6508
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.9783,0.4248,-3.9426,-2.2457,49.15,<.0001
14,x1,1,-0.4521,0.8489,-2.6359,0.9291,0.28,0.5944
