isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
1,Intercept,1,-3.4085,0.4306,-4.2525,-2.5645,62.66,<.0001
1,x1,1,3.3311,0.5040,2.3433,4.3189,43.68,<.0001
1,x2,1,-0.1354,0.4399,-0.9976,0.7268,0.09,0.7582
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-3.5529,0.4682,-4.4705,-2.6352,57.58,<.0001
2,x1,1,2.9824,0.4679,2.0653,3.8995,40.62,<.0001
2,x2,1,0.8216,0.5480,-0.2524,1.8957,2.25,0.1338
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-3.8208,0.5301,-4.8598,-2.7818,51.95,<.0001
3,x1,1,2.5014,0.5484,1.4266,3.5762,20.81,<.0001
3,x2,1,0.7926,0.5484,-0.2822,1.8674,2.09,0.1483
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-3.2122,0.4286,-4.0522,-2.3722,56.18,<.0001
4,x1,1,3.4480,0.5217,2.4255,4.4705,43.68,<.0001
4,x2,1,-0.5713,0.5066,-1.5642,0.4215,1.27,0.2594
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-4.8352,0.7673,-6.3390,-3.3313,39.71,<.0001
5,x1,1,2.7935,0.5723,1.6719,3.9151,23.83,<.0001
5,x2,1,1.9981,0.7655,0.4977,3.4985,6.81,0.0091
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-4.3297,0.7395,-5.7791,-2.8802,34.28,<.0001
6,x1,1,2.6134,0.6211,1.3959,3.8308,17.70,<.0001
6,x2,1,1.1337,0.8080,-0.4501,2.7174,1.97,0.1606
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-3.6002,0.4674,-4.5162,-2.6842,59.34,<.0001
7,x1,1,2.3286,0.4727,1.4022,3.2551,24.27,<.0001
7,x2,1,1.1543,0.5513,0.0739,2.2348,4.38,0.0363
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-3.6186,0.4694,-4.5385,-2.6986,59.44,<.0001
8,x1,1,2.2492,0.5140,1.2417,3.2567,19.15,<.0001
8,x2,1,0.8946,0.5631,-0.2090,1.9983,2.52,0.1121
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-4.8317,0.7681,-6.3373,-3.3262,39.57,<.0001
9,x1,1,3.9404,0.7759,2.4197,5.4612,25.79,<.0001
9,x2,1,0.7125,0.5964,-0.4565,1.8815,1.43,0.2322
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-3.3310,0.4125,-4.1394,-2.5226,65.22,<.0001
10,x1,1,2.4614,0.4987,1.4841,3.4388,24.36,<.0001
10,x2,1,0.3573,0.5122,-0.6466,1.3612,0.49,0.4854
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-2.9799,0.3506,-3.6671,-2.2926,72.22,<.0001
11,x1,1,2.6365,0.4904,1.6753,3.5976,28.91,<.0001
11,x2,1,-0.4187,0.4859,-1.3711,0.5336,0.74,0.3889
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-3.4183,0.5031,-4.4044,-2.4322,46.16,<.0001
12,x1,1,2.3034,0.4614,1.3991,3.2076,24.93,<.0001
12,x2,1,1.0692,0.6034,-0.1134,2.2519,3.14,0.0764
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-3.9536,0.5371,-5.0063,-2.9008,54.18,<.0001
13,x1,1,2.9142,0.5469,1.8423,3.9860,28.40,<.0001
13,x2,1,0.7288,0.5469,-0.3430,1.8007,1.78,0.1826
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-3.6878,0.4936,-4.6552,-2.7203,55.82,<.0001
14,x1,1,2.9288,0.5249,1.8999,3.9576,31.13,<.0001
14,x2,1,0.7483,0.5568,-0.3430,1.8396,1.81,0.1790
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-5.4673,0.8945,-7.2204,-3.7141,37.36,<.0001
15,x1,1,3.7763,0.7591,2.2885,5.2641,24.75,<.0001
15,x2,1,1.6942,0.7591,0.2064,3.1820,4.98,0.0256
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-4.0519,0.6052,-5.2381,-2.8658,44.83,<.0001
16,x1,1,3.5534,0.6893,2.2024,4.9045,26.57,<.0001
16,x2,1,0.4122,0.7621,-1.0814,1.9059,0.29,0.5885
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-3.6151,0.4651,-4.5267,-2.7035,60.41,<.0001
17,x1,1,3.0386,0.4629,2.1313,3.9460,43.08,<.0001
17,x2,1,0.7722,0.4880,-0.1842,1.7286,2.50,0.1136
17,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-3.7398,0.4822,-4.6850,-2.7947,60.14,<.0001
18,x1,1,2.2205,0.4793,1.2811,3.1599,21.46,<.0001
18,x2,1,1.3181,0.5374,0.2648,2.3713,6.02,0.0142
18,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
19,Intercept,1,-3.3850,0.4640,-4.2943,-2.4756,53.23,<.0001
19,x1,1,1.9974,0.4776,1.0613,2.9334,17.49,<.0001
19,x2,1,0.8296,0.5487,-0.2459,1.9050,2.29,0.1306
19,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-4.1130,0.5896,-5.2685,-2.9574,48.67,<.0001
20,x1,1,3.2400,0.6140,2.0365,4.4434,27.84,<.0001
20,x2,1,0.5800,0.5871,-0.5707,1.7307,0.98,0.3232
20,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
21,Intercept,1,-3.0857,0.3886,-3.8472,-2.3241,63.06,<.0001
21,x1,1,1.6072,0.4022,0.8189,2.3955,15.97,<.0001
21,x2,1,1.2003,0.4674,0.2841,2.1164,6.59,0.0102
21,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
22,Intercept,1,-4.7273,0.8271,-6.3485,-3.1061,32.66,<.0001
22,x1,1,3.4734,0.8448,1.8176,5.1292,16.90,<.0001
22,x2,1,0.4882,0.8448,-1.1676,2.1440,0.33,0.5633
22,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
23,Intercept,1,-5.7968,1.1212,-7.9943,-3.5994,26.73,<.0001
23,x1,1,3.4875,0.7901,1.9390,5.0360,19.49,<.0001
23,x2,1,2.2177,1.0600,0.1402,4.2952,4.38,0.0364
23,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
24,Intercept,1,-3.4912,0.4383,-4.3503,-2.6321,63.44,<.0001
24,x1,1,2.9708,0.5017,1.9875,3.9541,35.06,<.0001
