isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
1,Intercept,1,-2.5152,0.2898,-3.0831,-1.9472,75.33,<.0001
1,x1,1,0.0814,0.5725,-1.0407,1.2036,0.02,0.8869
1,x2,1,0.8689,0.4201,0.0455,1.6923,4.28,0.0386
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.3653,0.3025,-2.9582,-1.7724,61.14,<.0001
2,x1,1,1.2624,0.5522,0.1801,2.3447,5.23,0.0222
2,x2,1,0.0783,0.4560,-0.8154,0.9719,0.03,0.8637
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.6187,0.3335,-3.2723,-1.9651,61.66,<.0001
3,x1,1,0.0707,0.5595,-1.0259,1.1674,0.02,0.8994
3,x2,1,0.8472,0.4769,-0.0875,1.7819,3.16,0.0757
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.4021,0.2944,-2.9792,-1.8251,66.57,<.0001
4,x1,1,-0.0481,0.7387,-1.4959,1.3996,0.00,0.9480
4,x2,1,0.5927,0.4083,-0.2076,1.3930,2.11,0.1466
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.6958,0.3539,-3.3893,-2.0022,58.04,<.0001
5,x1,1,0.5280,0.5871,-0.6226,1.6786,0.81,0.3685
5,x2,1,0.3858,0.5236,-0.6404,1.4121,0.54,0.4612
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-3.2478,0.4209,-4.0728,-2.4228,59.54,<.0001
6,x1,1,1.0271,0.5018,0.0436,2.0107,4.19,0.0407
6,x2,1,1.1275,0.5190,0.1104,2.1447,4.72,0.0298
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-3.2101,0.4500,-4.0920,-2.3282,50.90,<.0001
7,x1,1,1.3315,0.6180,0.1203,2.5427,4.64,0.0312
7,x2,1,0.6430,0.6180,-0.5682,1.8542,1.08,0.2981
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
