isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
1,Intercept,1,-2.2847,0.5000,-3.2647,-1.3047,20.88,<.0001
1,x1,1,-21.8607,168098.2,-329488,329444.5,0.00,0.9999
1,x2,1,-0.5579,1.1180,-2.7492,1.6334,0.25,0.6178
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-1.5748,0.3780,-2.3156,-0.8340,17.36,<.0001
2,x1,1,-24.4588,184910.1,-362442,362392.7,0.00,0.9999
2,x2,1,-0.0016,0.6268,-1.2300,1.2269,0.00,0.9980
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-3.0876,0.7629,-4.5828,-1.5924,16.38,<.0001
3,x1,1,1.9768,1.1594,-0.2957,4.2492,2.91,0.0882
3,x2,1,-0.6019,1.1594,-2.8744,1.6705,0.27,0.6037
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.2233,0.4472,-3.0998,-1.3468,24.72,<.0001
4,x1,1,-23.8295,171875.2,-336893,336845.5,0.00,0.9999
4,x2,1,0.9886,0.6708,-0.3262,2.3034,2.17,0.1406
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-3.0374,0.7071,-4.4233,-1.6515,18.45,<.0001
5,x1,1,-23.4750,199212.4,-390473,390425.7,0.00,0.9999
5,x2,1,0.7328,1.2247,-1.6677,3.1332,0.36,0.5496
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-1.9564,0.4472,-2.8329,-1.0799,19.14,<.0001
6,x1,1,-23.0252,211356.3,-414274,414227.7,0.00,0.9999
6,x2,1,0.1768,0.6708,-1.1380,1.4916,0.07,0.7921
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.6416,0.7071,-4.0275,-1.2557,13.96,0.0002
7,x1,1,-24.1483,180617.0,-354027,353978.6,0.00,0.9999
7,x2,1,0.7601,0.9129,-1.0291,2.5492,0.69,0.4051
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-28.3619,0.5774,-29.4935,-27.2304,2413.20,<.0001
8,x1,1,0.8938,1.1547,-1.3694,3.1570,0.60,0.4389
8,x2,0,26.4749,0.0000,26.4749,26.4749,,
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-28.3691,0.5000,-29.3491,-27.3891,3219.22,<.0001
9,x1,1,-26.7246,454227.0,-890295,890241.8,0.00,1.0000
9,x2,0,26.7118,0.0000,26.7118,26.7118,,
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-3.6638,1.0000,-5.6238,-1.7039,13.42,0.0002
10,x1,1,-24.6602,248265.4,-486616,486566.7,0.00,0.9999
10,x2,1,1.3969,1.2247,-1.0036,3.7973,1.30,0.2541
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-2.5607,0.5907,-3.7185,-1.4029,18.79,<.0001
11,x1,1,0.4909,1.0608,-1.5882,2.5700,0.21,0.6435
11,x2,1,1.1209,0.7072,-0.2651,2.5070,2.51,0.1130
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-2.4634,0.5813,-3.6027,-1.3240,17.96,<.0001
12,x1,1,-0.0078,1.0668,-2.0986,2.0830,0.00,0.9941
12,x2,1,0.9839,0.7112,-0.4099,2.3778,1.91,0.1665
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-2.4296,0.5871,-3.5803,-1.2789,17.13,<.0001
13,x1,1,0.3005,1.0541,-1.7655,2.3665,0.08,0.7756
13,x2,1,1.2139,0.6901,-0.1386,2.5664,3.09,0.0786
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-3.3614,1.0000,-5.3214,-1.4015,11.30,0.0008
14,x1,1,0.2694,1.2247,-2.1310,2.6699,0.05,0.8259
14,x2,1,1.2202,1.2247,-1.1803,3.6206,0.99,0.3191
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-2.5979,0.5841,-3.7427,-1.4531,19.78,<.0001
15,x1,1,1.0491,0.7130,-0.3483,2.4465,2.17,0.1412
15,x2,1,1.1827,0.7130,-0.2147,2.5801,2.75,0.0971
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.4744,0.5005,-3.4554,-1.4933,24.44,<.0001
16,x1,1,-0.5097,1.0411,-2.5502,1.5309,0.24,0.6245
16,x2,1,2.3780,0.5873,1.2270,3.5290,16.40,<.0001
