isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-2.8881,0.3916,-3.7677,-2.2074,54.39,<.0001
1,x1,1,-1.6562,1.4445,-6.4935,0.3898,1.31,0.2516
1,x2,1,1.0356,0.5077,0.0521,2.0838,4.16,0.0414
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.1153,0.2616,-2.6754,-1.6427,65.40,<.0001
2,x1,1,-0.9914,1.4264,-5.7248,1.0336,0.48,0.4870
2,x2,1,-0.5543,0.5313,-1.7123,0.4187,1.09,0.2968
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-3.1690,0.4705,-4.2572,-2.3692,45.37,<.0001
3,x1,1,-1.0822,0.8503,-3.2794,0.2946,1.62,0.2031
3,x2,1,1.6618,0.5329,0.6955,2.8368,9.73,0.0018
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.3779,0.2818,-2.9860,-1.8719,71.19,<.0001
4,x1,1,-1.7269,1.4382,-6.5027,0.3253,1.44,0.2298
4,x2,1,0.3226,0.5063,-0.7514,1.2734,0.41,0.5240
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.7347,0.3628,-3.5405,-2.0983,56.81,<.0001
5,x1,1,-1.7065,1.4220,-6.4704,0.2844,1.44,0.2301
5,x2,1,0.8101,0.4830,-0.1351,1.7936,2.81,0.0935
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.5274,0.3090,-3.1991,-1.9761,66.90,<.0001
6,x1,1,0.0788,0.8710,-2.1113,1.5337,0.01,0.9279
6,x2,1,-0.0666,0.5663,-1.2792,0.9910,0.01,0.9064
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.2893,0.2710,-2.8714,-1.8011,71.39,<.0001
7,x1,1,-1.2481,1.4172,-6.0008,0.7277,0.78,0.3785
7,x2,1,0.2339,0.4498,-0.6986,1.0938,0.27,0.6031
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.2804,0.2619,-2.8417,-1.8074,75.79,<.0001
8,x1,1,-1.7698,1.4314,-6.5738,0.2364,1.53,0.2163
8,x2,1,0.5015,0.4149,-0.3449,1.3036,1.46,0.2268
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.9416,0.3907,-3.8186,-2.2622,56.70,<.0001
9,x1,1,-1.6410,1.4376,-6.4451,0.3942,1.30,0.2537
9,x2,1,1.1099,0.5175,0.0989,2.1708,4.60,0.0320
