isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-2.3395,0.2815,-2.9464,-1.8339,69.08,<.0001
10,x1,1,-0.4775,1.4208,-5.1710,1.5472,0.11,0.7368
10,x2,1,-0.5320,0.5923,-1.8503,0.5396,0.81,0.3691
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-2.3470,0.2963,-2.9877,-1.8162,62.75,<.0001
11,x1,1,-0.2234,0.8500,-2.3933,1.1704,0.07,0.7927
11,x2,1,-0.2313,0.5140,-1.3178,0.7391,0.20,0.6527
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-4.3487,0.8093,-6.4880,-3.0910,28.88,<.0001
12,x1,1,-0.5898,1.4689,-5.3889,1.5972,0.16,0.6880
12,x2,1,1.6796,0.9323,0.0181,3.9503,3.25,0.0716
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-2.4496,0.3082,-3.1211,-1.9007,63.18,<.0001
13,x1,1,-0.8322,0.8562,-3.0358,0.5629,0.94,0.3311
13,x2,1,0.9237,0.4156,0.1098,1.7611,4.94,0.0263
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.4560,0.3407,-3.2063,-1.8544,51.95,<.0001
14,x1,1,-1.9012,1.4173,-6.6530,0.0766,1.80,0.1798
14,x2,1,0.4865,0.4662,-0.4345,1.4249,1.09,0.2967
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-2.2557,0.2711,-2.8384,-1.7673,69.22,<.0001
15,x1,1,-1.7834,1.4276,-6.5496,0.2285,1.56,0.2116
15,x2,1,0.1929,0.4721,-0.7972,1.0864,0.17,0.6828
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.1438,0.2533,-2.6849,-1.6852,71.62,<.0001
16,x1,1,-2.0325,1.4288,-6.8303,-0.0342,2.02,0.1549
16,x2,1,0.4106,0.4093,-0.4271,1.1986,1.01,0.3157
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-2.3177,0.2935,-2.9535,-1.7924,62.35,<.0001
17,x1,1,-2.1116,1.4234,-6.8745,-0.1151,2.20,0.1379
17,x2,1,0.2936,0.4640,-0.6591,1.1910,0.40,0.5269
17,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-2.5402,0.3241,-3.2503,-1.9657,61.44,<.0001
18,x1,1,-0.8106,0.8581,-3.0173,0.5900,0.89,0.3448
18,x2,1,0.7746,0.4281,-0.0586,1.6437,3.27,0.0704
18,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
19,Intercept,1,-2.1705,0.2832,-2.7810,-1.6614,58.72,<.0001
19,x1,1,-0.5570,0.6599,-2.1416,0.5557,0.71,0.3986
19,x2,1,0.7566,0.3696,0.0389,1.5035,4.19,0.0407
19,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-2.3339,0.2715,-2.9177,-1.8450,73.88,<.0001
20,x1,1,-1.7357,1.4367,-6.5459,0.2906,1.46,0.2270
20,x2,1,0.5996,0.4354,-0.2932,1.4391,1.90,0.1685
20,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
21,Intercept,1,-2.3086,0.3080,-2.9797,-1.7599,56.17,<.0001
21,x1,1,-1.4569,1.4293,-6.2808,0.5277,1.04,0.3080
21,x2,1,0.7485,0.3985,-0.0223,1.5598,3.53,0.0603
21,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
22,Intercept,1,-2.4658,0.3078,-3.1362,-1.9176,64.19,<.0001
22,x1,1,-1.0101,1.4777,-5.8235,1.1955,0.47,0.4943
22,x2,1,-0.2708,0.6121,-1.6221,0.8474,0.20,0.6582
22,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
23,Intercept,1,-2.7716,0.3419,-3.5255,-2.1686,65.73,<.0001
23,x1,1,-1.8792,1.4347,-6.6866,0.1402,1.72,0.1902
23,x2,1,1.1295,0.4693,0.2028,2.0746,5.79,0.0161
23,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
24,Intercept,1,-3.6490,0.5316,-4.9075,-2.7604,47.12,<.0001
24,x1,1,-0.9768,1.4436,-5.7795,1.0875,0.46,0.4986
24,x2,1,1.5778,0.6423,0.3771,2.9819,6.03,0.0140
24,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
25,Intercept,1,-2.2192,0.2720,-2.8040,-1.7295,66.58,<.0001
25,x1,1,-0.4490,0.6825,-2.0670,0.7251,0.43,0.5106
25,x2,1,0.7678,0.3820,0.0126,1.5269,4.04,0.0444
25,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
26,Intercept,1,-2.3777,0.2936,-3.0138,-1.8522,65.57,<.0001
26,x1,1,-1.6888,1.4195,-6.4739,0.2767,1.42,0.2342
26,x2,1,0.9089,0.3982,0.1275,1.7081,5.21,0.0225
26,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
27,Intercept,1,-1.9893,0.2530,-2.5294,-1.5310,61.82,<.0001
27,x1,1,-0.9783,1.4156,-5.7318,0.9897,0.48,0.4895
27,x2,1,-0.2737,0.4395,-1.1913,0.5589,0.39,0.5335
27,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
28,Intercept,1,-2.4087,0.2943,-3.0468,-1.8823,66.97,<.0001
28,x1,1,-0.8319,1.4469,-5.6587,1.2306,0.33,0.5653
28,x2,1,0.2020,0.4674,-0.7585,1.1052,0.19,0.6656
28,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
29,Intercept,1,-2.4741,0.3230,-3.1814,-1.9011,58.66,<.0001
29,x1,1,-2.3188,1.4203,-7.1100,-0.3537,2.67,0.1025
29,x2,1,1.1554,0.4092,0.3691,1.9950,7.97,0.0047
29,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
30,Intercept,1,-2.4844,0.2942,-3.1221,-1.9582,71.30,<.0001
30,x1,1,-2.0422,1.4307,-6.8588,-0.0468,2.04,0.1535
30,x2,1,1.1410,0.4069,0.3382,1.9541,7.86,0.0050
30,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
31,Intercept,1,-2.5747,0.3232,-3.2824,-2.0015,63.48,<.0001
31,x1,1,-1.2239,1.4276,-6.0175,0.7722,0.74,0.3913
31,x2,1,0.7018,0.4445,-0.1755,1.5942,2.49,0.1144
31,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
32,Intercept,1,-2.9263,0.3638,-3.7350,-2.2886,64.69,<.0001
32,x1,1,-1.8595,1.4304,-6.6656,0.1417,1.69,0.1936
32,x2,1,1.7239,0.4666,0.8240,2.6854,13.65,0.0002
32,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
33,Intercept,1,-2.1679,0.2617,-2.7283,-1.6952,68.65,<.0001
33,x1,1,-0.8642,1.4343,-5.6136,1.1847,0.36,0.5468
33,x2,1,-0.5493,0.5322,-1.7088,0.4253,1.07,0.3020
33,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
34,Intercept,1,-2.0783,0.2618,-2.6392,-1.6055,63.02,<.0001
34,x1,1,-1.7152,1.4250,-6.5076,0.2697,1.45,0.2287
34,x2,1,0.3678,0.4023,-0.4466,1.1507,0.84,0.3606
34,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
35,Intercept,1,-2.6692,0.3427,-3.4252,-2.0650,60.68,<.0001
35,x1,1,-1.4889,1.4462,-6.3329,0.5608,1.06,0.3032
35,x2,1,0.7345,0.4713,-0.1971,1.6832,2.43,0.1191
35,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
36,Intercept,1,-2.5983,0.3422,-3.3532,-1.9949,57.65,<.0001
36,x1,1,-2.3444,1.4277,-7.1647,-0.3647,2.70,0.1006
36,x2,1,1.2730,0.4208,0.4735,2.1471,9.15,0.0025
36,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
37,Intercept,1,-2.8008,0.3422,-3.5554,-2.1971,66.98,<.0001
37,x1,1,-0.4074,0.8628,-2.6134,1.0114,0.22,0.6368
37,x2,1,1.1737,0.4654,0.2589,2.1137,6.36,0.0117
37,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
38,Intercept,1,-2.2134,0.2821,-2.8223,-1.7070,61.55,<.0001
38,x1,1,-2.0730,1.4337,-6.8820,-0.0593,2.09,0.1482
38,x2,1,0.4151,0.4280,-0.4510,1.2510,0.94,0.3321
38,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
39,Intercept,1,-3.5830,0.5325,-4.8442,-2.6932,45.27,<.0001
39,x1,1,-1.4563,1.4548,-6.2814,0.6460,1.00,0.3168
39,x2,1,1.4115,0.6594,0.1618,2.8389,4.58,0.0323
39,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
40,Intercept,1,-2.6035,0.3229,-3.3103,-2.0306,65.02,<.0001
40,x1,1,-1.7283,1.4284,-6.5002,0.2849,1.46,0.2263
40,x2,1,0.7124,0.4833,-0.2682,1.6612,2.17,0.1405
40,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
41,Intercept,1,-2.5857,0.3421,-3.3400,-1.9821,57.12,<.0001
41,x1,1,-0.0125,0.8650,-2.2186,1.4143,0.00,0.9884
41,x2,1,0.5415,0.4762,-0.4015,1.4971,1.29,0.2555
41,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
42,Intercept,1,-2.3569,0.3080,-3.0279,-1.8082,58.54,<.0001
42,x1,1,-1.1490,1.4401,-5.9752,0.8832,0.64,0.4249
42,x2,1,0.4545,0.4461,-0.4392,1.3370,1.04,0.3083
42,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
43,Intercept,1,-2.7726,0.3635,-3.5803,-2.1354,58.19,<.0001
43,x1,1,-1.5629,1.4327,-6.3532,0.4585,1.19,0.2753
43,x2,1,0.7647,0.4968,-0.2162,1.7693,2.37,0.1237
43,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
44,Intercept,1,-2.9482,0.3911,-3.8264,-2.2682,56.82,<.0001
44,x1,1,-1.4004,1.4525,-6.2242,0.6906,0.93,0.3350
44,x2,1,0.6818,0.5518,-0.4236,1.7910,1.53,0.2166
44,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
45,Intercept,1,-2.6072,0.3083,-3.2790,-2.0581,71.51,<.0001
45,x1,1,-1.2553,1.4603,-6.1052,0.8560,0.74,0.3900
45,x2,1,0.2838,0.4980,-0.7489,1.2420,0.32,0.5687
45,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
46,Intercept,1,-2.4231,0.3077,-3.0933,-1.8748,62.00,<.0001
46,x1,1,-2.3480,1.4244,-7.1581,-0.3769,2.72,0.0993
46,x2,1,0.9994,0.3930,0.2423,1.8021,6.47,0.0110
46,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
47,Intercept,1,-3.1635,0.4246,-4.1287,-2.4323,55.52,<.0001
47,x1,1,-1.4588,1.4274,-6.2614,0.5312,1.04,0.3068
47,x2,1,1.4663,0.5028,0.5301,2.5434,8.50,0.0035
47,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
48,Intercept,1,-2.6519,0.3410,-3.4032,-2.0501,60.48,<.0001
48,x1,1,-1.4043,1.4250,-6.1637,0.6021,0.97,0.3244
48,x2,1,0.7093,0.4949,-0.2875,1.6901,2.05,0.1518
48,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
49,Intercept,1,-2.3248,0.2820,-2.9333,-1.8186,67.97,<.0001
49,x1,1,-1.4873,1.4267,-6.2876,0.5003,1.09,0.2972
49,x2,1,0.7855,0.4061,-0.0243,1.5883,3.74,0.0531
49,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
50,Intercept,1,-2.1935,0.2710,-2.7759,-1.7053,65.51,<.0001
50,x1,1,-1.4299,1.4177,-6.2012,0.5363,1.02,0.3132
50,x2,1,0.3767,0.4075,-0.4453,1.1734,0.85,0.3553
50,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
51,Intercept,1,-2.4893,0.2944,-3.1269,-1.9623,71.49,<.0001
51,x1,1,-0.2526,0.8575,-2.4453,1.1533,0.09,0.7683
51,x2,1,0.6559,0.4545,-0.2682,1.5406,2.08,0.1490
51,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
52,Intercept,1,-2.5634,0.3413,-3.3158,-1.9612,56.40,<.0001
52,x1,1,-1.8997,1.4315,-6.6783,0.1234,1.76,0.1845
52,x2,1,0.6237,0.4960,-0.3753,1.6067,1.58,0.2087
52,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
53,Intercept,1,-2.5859,0.3079,-3.2565,-2.0375,70.55,<.0001
53,x1,1,-0.8063,1.4560,-5.6256,1.3013,0.31,0.5797
53,x2,1,0.5025,0.5232,-0.5983,1.4967,0.92,0.3368
53,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
54,Intercept,1,-2.5457,0.3078,-3.2162,-1.9973,68.39,<.0001
54,x1,1,-2.2098,1.4318,-7.0239,-0.2079,2.38,0.1227
54,x2,1,1.1541,0.4248,0.3157,2.0049,7.38,0.0066
54,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
55,Intercept,1,-1.9830,0.2458,-2.5066,-1.5370,65.09,<.0001
55,x1,1,-2.3314,1.4328,-7.1521,-0.3294,2.65,0.1037
55,x2,1,0.2851,0.3827,-0.4900,1.0276,0.55,0.4563
55,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
56,Intercept,1,-2.4794,0.3081,-3.1498,-1.9301,64.78,<.0001
56,x1,1,-0.3371,0.8538,-2.5264,1.0574,0.16,0.6929
56,x2,1,0.6450,0.4485,-0.2539,1.5310,2.07,0.1504
56,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
57,Intercept,1,-2.6033,0.3413,-3.3555,-2.0011,58.18,<.0001
57,x1,1,-1.2739,1.4340,-6.0472,0.7635,0.79,0.3743
57,x2,1,0.1891,0.5154,-0.8625,1.1998,0.13,0.7137
57,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
58,Intercept,1,-2.4011,0.3076,-3.0709,-1.8531,60.94,<.0001
58,x1,1,-1.6280,1.4370,-6.4261,0.4071,1.28,0.2572
58,x2,1,0.4446,0.4745,-0.5245,1.3685,0.88,0.3488
58,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
59,Intercept,1,-2.5104,0.3241,-3.2205,-1.9359,60.01,<.0001
59,x1,1,-0.9577,0.8854,-3.1927,0.5312,1.17,0.2794
59,x2,1,0.5794,0.4847,-0.4023,1.5317,1.43,0.2319
59,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
60,Intercept,1,-2.9981,0.4257,-3.9664,-2.2653,49.61,<.0001
60,x1,1,-2.5713,1.4321,-7.4022,-0.5781,3.22,0.0726
60,x2,1,1.7382,0.4952,0.8238,2.8061,12.32,0.0004
60,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
61,Intercept,1,-2.4892,0.2941,-3.1266,-1.9632,71.65,<.0001
61,x1,1,-1.5909,1.4398,-6.3980,0.4512,1.22,0.2692
61,x2,1,0.5134,0.4663,-0.4443,1.4150,1.21,0.2710
61,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
62,Intercept,1,-2.2152,0.2616,-2.7753,-1.7426,71.73,<.0001
62,x1,1,-1.0675,1.4184,-5.8314,0.9061,0.57,0.4517
62,x2,1,0.3633,0.4274,-0.5165,1.1835,0.72,0.3953
62,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
63,Intercept,1,-2.3166,0.2934,-2.9519,-1.7914,62.34,<.0001
63,x1,1,-1.2006,1.4251,-5.9255,0.8253,0.71,0.3995
63,x2,1,-0.2640,0.5468,-1.4427,0.7524,0.23,0.6291
63,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
64,Intercept,1,-2.1974,0.2821,-2.8061,-1.6911,60.70,<.0001
64,x1,1,-1.9555,1.4346,-6.7591,0.0655,1.86,0.1729
64,x2,1,0.3998,0.4417,-0.5020,1.2561,0.82,0.3654
64,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
65,Intercept,1,-2.2576,0.2817,-2.8652,-1.7518,64.24,<.0001
65,x1,1,-1.4694,1.4200,-6.2497,0.5010,1.07,0.3008
65,x2,1,0.6876,0.4051,-0.1205,1.4884,2.88,0.0897
65,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
66,Intercept,1,-2.6491,0.3415,-3.4020,-2.0465,60.16,<.0001
66,x1,1,-1.5837,1.4298,-6.3756,0.4235,1.23,0.2680
66,x2,1,0.8787,0.4685,-0.0461,1.8222,3.52,0.0607
66,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
67,Intercept,1,-2.5309,0.3226,-3.2370,-1.9584,61.53,<.0001
67,x1,1,-1.7678,1.4183,-6.5366,0.2030,1.55,0.2126
67,x2,1,0.8645,0.4340,0.0133,1.7404,3.97,0.0464
67,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
68,Intercept,1,-2.3490,0.2938,-2.9855,-1.8234,63.94,<.0001
68,x1,1,-1.1908,1.4340,-5.9699,0.8419,0.69,0.4063
68,x2,1,0.1807,0.4859,-0.8295,1.1106,0.14,0.7099
68,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
69,Intercept,1,-2.2336,0.2818,-2.8415,-1.7277,62.85,<.0001
69,x1,1,-1.8022,1.4279,-6.5784,0.2054,1.59,0.2069
69,x2,1,0.2319,0.4574,-0.7115,1.1111,0.26,0.6122
69,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
70,Intercept,1,-2.4878,0.3239,-3.1965,-1.9129,59.00,<.0001
70,x1,1,-0.6674,0.8415,-2.8446,0.6891,0.63,0.4277
70,x2,1,0.9500,0.4215,0.1325,1.8079,5.08,0.0242
70,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
71,Intercept,1,-2.4632,0.3075,-3.1328,-1.9154,64.18,<.0001
71,x1,1,-1.7510,1.4346,-6.5423,0.2776,1.49,0.2223
71,x2,1,0.4596,0.4742,-0.5085,1.3829,0.94,0.3324
71,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
72,Intercept,1,-1.9993,0.2533,-2.5404,-1.5407,62.30,<.0001
72,x1,1,-2.0434,1.4254,-6.8426,-0.0613,2.06,0.1517
72,x2,1,0.2958,0.3868,-0.4847,1.0494,0.59,0.4444
72,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
73,Intercept,1,-3.8422,0.6296,-5.3909,-2.8173,37.24,<.0001
73,x1,1,-1.6156,1.4374,-6.4293,0.4136,1.26,0.2610
73,x2,1,1.9337,0.6999,0.7032,3.5690,7.63,0.0057
73,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
74,Intercept,1,-2.1528,0.2626,-2.7149,-1.6783,67.23,<.0001
74,x1,1,-0.0378,0.8790,-2.2416,1.4327,0.00,0.9657
74,x2,1,-0.4360,0.5511,-1.6335,0.5702,0.63,0.4288
74,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
75,Intercept,1,-1.9327,0.2262,-2.4112,-1.5197,73.00,<.0001
75,x1,1,-0.9117,0.8580,-3.1133,0.4899,1.13,0.2880
75,x2,1,0.3622,0.3887,-0.4382,1.1030,0.87,0.3515
75,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
76,Intercept,1,-2.7448,0.3422,-3.4986,-2.1409,64.36,<.0001
76,x1,1,-0.6291,0.8534,-2.8191,0.7642,0.54,0.4610
76,x2,1,0.8969,0.4614,-0.0080,1.8303,3.78,0.0519
76,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
77,Intercept,1,-3.5472,0.5333,-4.8106,-2.6562,44.24,<.0001
77,x1,1,-1.1135,0.8589,-3.3193,0.2914,1.68,0.1948
77,x2,1,2.0227,0.6015,0.9429,3.3767,11.31,0.0008
77,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
78,Intercept,1,-2.9664,0.3911,-3.8443,-2.2861,57.53,<.0001
78,x1,1,-0.2011,0.8488,-2.3917,1.1744,0.06,0.8128
78,x2,1,1.3825,0.4720,0.4948,2.3790,8.58,0.0034
78,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
79,Intercept,1,-2.7190,0.3409,-3.4699,-2.1172,63.62,<.0001
79,x1,1,-0.7329,1.4172,-5.4992,1.2346,0.27,0.6050
79,x2,1,1.1779,0.4400,0.3266,2.0784,7.17,0.0074
79,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
80,Intercept,1,-2.6821,0.3427,-3.4382,-2.0779,61.24,<.0001
80,x1,1,-2.1075,1.4412,-6.9511,-0.0804,2.14,0.1437
80,x2,1,1.1153,0.4517,0.2356,2.0355,6.10,0.0136
80,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
81,Intercept,1,-2.6553,0.3083,-3.3270,-2.1063,74.20,<.0001
81,x1,1,-1.6022,1.4482,-6.4435,0.4583,1.22,0.2686
81,x2,1,0.8257,0.4603,-0.1056,1.7292,3.22,0.0729
81,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
82,Intercept,1,-3.0365,0.4252,-4.0032,-2.3042,51.00,<.0001
82,x1,1,-0.7245,0.8542,-2.9223,0.6672,0.72,0.3964
82,x2,1,1.4979,0.5068,0.5522,2.5814,8.74,0.0031
82,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
83,Intercept,1,-2.5511,0.3237,-3.2597,-1.9768,62.12,<.0001
83,x1,1,-0.2256,0.8724,-2.4356,1.2257,0.07,0.7959
83,x2,1,0.4921,0.4945,-0.5140,1.4588,0.99,0.3197
83,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
84,Intercept,1,-2.9042,0.3909,-3.7819,-2.2244,55.18,<.0001
84,x1,1,-1.2987,1.4409,-6.1135,0.7446,0.81,0.3674
84,x2,1,0.9063,0.5182,-0.1062,1.9685,3.06,0.0803
84,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
85,Intercept,1,-2.4255,0.3082,-3.0969,-1.8764,61.93,<.0001
85,x1,1,-0.4892,0.6751,-2.0965,0.6640,0.53,0.4686
85,x2,1,0.9892,0.4002,0.2151,1.8034,6.11,0.0134
85,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
86,Intercept,1,-1.9896,0.2457,-2.5130,-1.5438,65.60,<.0001
86,x1,1,-1.8113,1.4276,-6.6217,0.1736,1.61,0.2045
86,x2,1,0.3382,0.3732,-0.4131,1.0660,0.82,0.3648
86,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
87,Intercept,1,-3.5033,0.5277,-4.7484,-2.6189,44.07,<.0001
87,x1,1,-0.7432,1.4457,-5.4395,1.3970,0.26,0.6072
87,x2,1,0.7881,0.7381,-0.7102,2.3053,1.14,0.2857
87,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
88,Intercept,1,-2.4932,0.3422,-3.2477,-1.8895,53.08,<.0001
88,x1,1,-1.3404,0.8512,-3.5346,0.0414,2.48,0.1153
88,x2,1,1.0163,0.4393,0.1696,1.9178,5.35,0.0207
88,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
89,Intercept,1,-1.9114,0.2319,-2.4030,-1.4888,67.95,<.0001
89,x1,1,-1.5164,1.4262,-6.3030,0.4767,1.13,0.2877
89,x2,1,-0.0854,0.4110,-0.9412,0.6921,0.04,0.8353
89,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
90,Intercept,1,-1.9365,0.2388,-2.4440,-1.5024,65.78,<.0001
90,x1,1,-1.6272,1.4288,-6.4550,0.3523,1.30,0.2548
90,x2,1,0.6525,0.3423,-0.0266,1.3278,3.63,0.0566
90,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
91,Intercept,1,-2.3193,0.3082,-2.9907,-1.7705,56.65,<.0001
91,x1,1,-1.9600,1.4322,-6.7897,0.0340,1.87,0.1711
91,x2,1,0.8235,0.4042,0.0382,1.6436,4.15,0.0416
91,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
92,Intercept,1,-2.3647,0.2717,-2.9491,-1.8755,75.72,<.0001
92,x1,1,-2.2083,1.4352,-7.0347,-0.1987,2.37,0.1239
92,x2,1,0.9523,0.4000,0.1507,1.7386,5.67,0.0173
92,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
93,Intercept,1,-2.7230,0.3408,-3.4736,-2.1214,63.84,<.0001
93,x1,1,-1.2379,1.4210,-5.9857,0.7584,0.76,0.3837
93,x2,1,0.7409,0.4943,-0.2549,1.7201,2.25,0.1339
93,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
94,Intercept,1,-2.1781,0.2711,-2.7608,-1.6897,64.53,<.0001
94,x1,1,-1.7323,1.4225,-6.5110,0.2500,1.48,0.2233
94,x2,1,0.3208,0.4197,-0.5320,1.1363,0.58,0.4446
