isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-4.6110,1.3701,-9.1129,-2.7088,11.33,0.0008
1,x1,1,2.1976,0.9919,0.2444,4.3960,4.91,0.0267
1,x2,1,1.9265,1.4918,-0.4588,6.5164,1.67,0.1966
1,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-4.4098,1.3907,-9.0998,-2.5145,10.06,0.0015
2,x1,1,1.2516,0.8785,-0.5864,3.0557,2.03,0.1542
2,x2,1,2.7312,1.4983,0.3984,7.4976,3.32,0.0683
2,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.9074,0.6289,-4.4424,-1.8779,21.37,<.0001
3,x1,1,1.8824,0.8162,0.3731,3.6159,5.32,0.0211
3,x2,1,0.8684,0.9009,-0.8700,2.7455,0.93,0.3351
3,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-3.5834,0.8117,-5.6980,-2.3066,19.49,<.0001
4,x1,1,3.4952,0.9078,1.9005,5.7121,14.82,0.0001
4,x2,1,-0.2017,0.7762,-1.9106,1.2764,0.07,0.7950
4,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-4.4507,1.3855,-9.0723,-2.5434,10.32,0.0013
5,x1,1,1.6803,0.8057,0.0803,3.3905,4.35,0.0370
5,x2,1,2.6182,1.4618,0.4004,7.2943,3.21,0.0733
5,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-3.1975,0.6752,-4.8081,-2.0804,22.43,<.0001
6,x1,1,2.3222,0.7573,0.9066,4.0027,9.40,0.0022
6,x2,1,0.8284,0.7069,-0.5691,2.2999,1.37,0.2413
6,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.1150,0.4473,-3.1240,-1.3437,22.36,<.0001
7,x1,1,2.3047,0.6705,0.8752,3.5984,11.81,0.0006
7,x2,1,-0.4518,0.8779,-2.6396,1.0450,0.26,0.6068
7,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-3.8281,0.8551,-6.0023,-2.4685,20.04,<.0001
8,x1,1,3.4067,0.8812,1.9269,5.5884,14.95,0.0001
8,x2,1,0.6655,0.7014,-0.5621,2.2768,0.90,0.3427
8,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-3.3624,0.6225,-4.7508,-2.2826,29.18,<.0001
9,x1,1,2.3199,0.5647,1.2585,3.5304,16.88,<.0001
9,x2,1,2.0683,0.5647,1.0068,3.2788,13.41,0.0002
9,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-4.1977,1.4006,-8.9499,-2.2969,8.98,0.0027
