isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-2.4753,0.3259,-3.1875,-1.8963,57.71,<.0001
1,x1,1,0.3562,0.5262,-0.8077,1.3042,0.46,0.4984
1,x2,1,0.7165,0.4161,-0.0851,1.5673,2.97,0.0851
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.4660,0.3242,-3.1761,-1.8912,57.87,<.0001
2,x1,1,0.9454,0.5311,-0.1739,1.9516,3.17,0.0751
2,x2,1,0.4627,0.4587,-0.4459,1.3783,1.02,0.3132
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.6761,0.3147,-3.3584,-2.1135,72.32,<.0001
3,x1,1,0.9852,0.4756,-0.0170,1.8778,4.29,0.0383
3,x2,1,0.6475,0.4296,-0.1973,1.5072,2.27,0.1318
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.5684,0.3270,-3.2827,-1.9872,61.70,<.0001
4,x1,1,0.9549,0.4399,0.0768,1.8182,4.71,0.0300
4,x2,1,0.6911,0.4484,-0.1818,1.5945,2.37,0.1233
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.8015,0.3427,-3.5573,-2.1970,66.82,<.0001
5,x1,1,0.1831,0.4882,-0.8753,1.0772,0.14,0.7077
5,x2,1,1.4516,0.4200,0.6556,2.3252,11.94,0.0005
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.4386,0.2970,-3.0809,-1.9064,67.42,<.0001
6,x1,1,1.4582,0.4141,0.6202,2.2599,12.40,0.0004
6,x2,1,0.6451,0.4062,-0.1467,1.4605,2.52,0.1122
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.7020,0.3431,-3.4576,-2.0961,62.03,<.0001
7,x1,1,0.2338,0.5926,-1.1064,1.2878,0.16,0.6931
7,x2,1,0.9709,0.4443,0.1125,1.8801,4.78,0.0289
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-3.2827,0.4253,-4.2484,-2.5493,59.57,<.0001
8,x1,1,0.1764,0.7147,-1.4746,1.4477,0.06,0.8050
8,x2,1,1.1522,0.5586,0.0679,2.3076,4.26,0.0391
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
