isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
1,Intercept,1,-2.2230,0.2774,-2.7666,-1.6794,64.24,<.0001
1,x1,1,-24.0894,109605.9,-214848,214799.4,0.00,0.9998
1,x2,1,0.3523,0.4494,-0.5284,1.2330,0.61,0.4330
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.8979,0.4094,-3.7003,-2.0956,50.11,<.0001
2,x1,1,-0.8032,1.0431,-2.8476,1.2412,0.59,0.4413
2,x2,1,0.7739,0.5311,-0.2671,1.8149,2.12,0.1451
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.7444,0.3539,-3.4381,-2.0507,60.12,<.0001
3,x1,1,-0.6018,0.7847,-2.1398,0.9362,0.59,0.4431
3,x2,1,0.7828,0.5065,-0.2099,1.7756,2.39,0.1222
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.2179,0.2887,-2.7837,-1.6521,59.03,<.0001
4,x1,1,-24.1285,122665.8,-240445,240396.5,0.00,0.9998
4,x2,1,0.1229,0.4410,-0.7414,0.9871,0.08,0.7805
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-3.4079,0.5000,-4.3879,-2.4279,46.46,<.0001
5,x1,1,-23.3556,121271.9,-237712,237665.3,0.00,0.9998
5,x2,1,1.2367,0.6268,0.0083,2.4652,3.89,0.0485
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-3.0756,0.4094,-3.8781,-2.2732,56.43,<.0001
6,x1,1,0.1514,0.7596,-1.3374,1.6402,0.04,0.8420
6,x2,1,1.2052,0.5064,0.2127,2.1977,5.66,0.0173
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-3.2442,0.4474,-4.1211,-2.3672,52.57,<.0001
7,x1,1,-0.8696,1.0358,-2.8996,1.1605,0.70,0.4012
7,x2,1,1.6506,0.5297,0.6124,2.6888,9.71,0.0018
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.5443,0.3173,-3.1662,-1.9223,64.28,<.0001
8,x1,1,0.0729,1.0538,-1.9925,2.1384,0.00,0.9448
8,x2,1,0.1900,0.5269,-0.8427,1.2227,0.13,0.7184
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-3.1009,0.4472,-3.9774,-2.2243,48.08,<.0001
9,x1,1,-24.0971,126447.8,-247857,247809.0,0.00,0.9998
9,x2,1,0.9413,0.5855,-0.2063,2.0889,2.58,0.1079
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-2.3816,0.3024,-2.9743,-1.7888,62.01,<.0001
10,x1,1,-1.0653,1.0324,-3.0887,0.9582,1.06,0.3021
10,x2,1,0.4639,0.4402,-0.3989,1.3267,1.11,0.2920
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-3.4044,0.5000,-4.3844,-2.4244,46.36,<.0001
11,x1,1,-24.8640,128248.0,-251386,251336.5,0.00,0.9998
11,x2,1,2.0313,0.5718,0.9107,3.1520,12.62,0.0004
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-3.0751,0.4083,-3.8754,-2.2749,56.72,<.0001
12,x1,1,-1.3244,1.0446,-3.3718,0.7230,1.61,0.2049
12,x2,1,1.5253,0.5143,0.5172,2.5333,8.79,0.0030
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-2.3033,0.3162,-2.9231,-1.6835,53.05,<.0001
13,x1,1,-23.5398,108827.7,-213322,213274.9,0.00,0.9998
13,x2,1,-0.2788,0.5477,-1.3523,0.7947,0.26,0.6107
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-3.0751,0.4483,-3.9537,-2.1964,47.05,<.0001
14,x1,1,-0.8242,1.0340,-2.8509,1.2025,0.64,0.4254
14,x2,1,1.2304,0.5340,0.1838,2.2770,5.31,0.0212
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-2.3766,0.2887,-2.9424,-1.8108,67.78,<.0001
15,x1,1,-23.9805,125768.2,-246525,246477.2,0.00,0.9998
15,x2,1,0.6850,0.4003,-0.0996,1.4696,2.93,0.0871
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.3667,0.3042,-2.9629,-1.7704,60.52,<.0001
16,x1,1,-0.1763,0.7565,-1.6591,1.3064,0.05,0.8157
16,x2,1,0.2878,0.4562,-0.6064,1.1819,0.40,0.5282
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-2.6270,0.3336,-3.2808,-1.9732,62.01,<.0001
17,x1,1,0.6619,0.8387,-0.9821,2.3058,0.62,0.4301
17,x2,1,-0.0130,0.5820,-1.1537,1.1276,0.00,0.9821
17,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-2.3260,0.2887,-2.8918,-1.7603,64.93,<.0001
18,x1,1,-24.0163,116852.7,-229051,229003.1,0.00,0.9998
18,x2,1,0.2397,0.4564,-0.6549,1.1343,0.28,0.5994
18,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
19,Intercept,1,-2.3841,0.2952,-2.9626,-1.8056,65.24,<.0001
19,x1,1,0.7943,0.5998,-0.3814,1.9700,1.75,0.1854
19,x2,1,-0.1458,0.5070,-1.1395,0.8478,0.08,0.7736
19,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-2.6854,0.3540,-3.3791,-1.9916,57.56,<.0001
20,x1,1,-1.4528,1.0342,-3.4797,0.5742,1.97,0.1601
20,x2,1,1.0926,0.4601,0.1909,1.9944,5.64,0.0176
20,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
