isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-2.3257,0.5258,-3.5606,-1.4424,19.56,<.0001
1,x1,1,-0.2676,1.4414,-4.7757,1.9574,0.03,0.8527
1,x2,1,-0.4203,0.9296,-2.5636,1.3189,0.20,0.6511
1,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.2409,0.5352,-3.4951,-1.3398,17.53,<.0001
2,x1,1,0.2440,0.8748,-1.9377,1.7342,0.08,0.7803
2,x2,1,0.8428,0.6684,-0.4472,2.2680,1.59,0.2073
2,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.2547,0.5558,-3.5573,-1.3227,16.46,<.0001
3,x1,1,1.0273,0.9606,-1.1917,2.8120,1.14,0.2849
3,x2,1,-1.0167,0.9606,-3.2357,0.7680,1.12,0.2899
3,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.0982,0.5330,-3.3600,-1.2071,15.50,<.0001
4,x1,1,0.0576,0.6485,-1.2731,1.3424,0.01,0.9293
4,x2,1,1.0787,0.6926,-0.2577,2.5502,2.43,0.1193
4,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.5702,0.6227,-4.0942,-1.5528,17.04,<.0001
5,x1,1,-0.5401,1.4507,-5.2343,1.6273,0.14,0.7097
5,x2,1,1.1168,0.8076,-0.4645,2.8650,1.91,0.1667
5,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-1.8228,0.3894,-2.6933,-1.1441,21.91,<.0001
6,x1,1,-0.2593,1.4170,-4.9392,1.7664,0.03,0.8548
6,x2,1,0.2951,0.6475,-1.1023,1.5242,0.21,0.6485
6,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.7949,0.5592,-4.1054,-1.8567,24.98,<.0001
7,x1,1,1.1248,0.8693,-0.7004,2.8234,1.67,0.1957
7,x2,1,0.6299,0.8693,-1.1953,2.3285,0.53,0.4687
7,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-3.1303,0.8087,-5.2674,-1.8734,14.98,0.0001
8,x1,1,-0.3706,1.5191,-5.1896,2.0393,0.06,0.8072
