isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
1,Intercept,1,-2.9304,0.7071,-4.3163,-1.5445,17.17,<.0001
1,x1,1,-23.7426,197361.9,-386846,386798.6,0.00,0.9999
1,x2,1,1.0130,0.9129,-0.7762,2.8022,1.23,0.2671
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.5131,0.5774,-3.6447,-1.3815,18.95,<.0001
2,x1,1,-24.6793,259264.2,-508173,508123.7,0.00,0.9999
2,x2,1,1.0090,0.7638,-0.4879,2.5060,1.75,0.1865
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-1.9674,0.4472,-2.8439,-1.0909,19.35,<.0001
3,x1,1,-23.9534,139762.8,-273954,273906.2,0.00,0.9999
3,x2,1,0.2681,0.7303,-1.1632,1.6995,0.13,0.7135
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.9867,0.7071,-4.3726,-1.6008,17.84,<.0001
4,x1,1,-23.1966,242936.1,-476169,476122.8,0.00,0.9999
4,x2,1,0.0417,1.2247,-2.3587,2.4422,0.00,0.9728
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.2211,0.5000,-3.2011,-1.2411,19.73,<.0001
5,x1,1,-23.6828,257392.4,-504503,504456.1,0.00,0.9999
5,x2,1,0.0846,0.8660,-1.6128,1.7820,0.01,0.9222
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.6218,0.5774,-3.7534,-1.4902,20.62,<.0001
6,x1,1,-23.1231,268771.1,-526805,526758.5,0.00,0.9999
6,x2,1,0.9397,0.8165,-0.6606,2.5400,1.32,0.2498
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.6973,0.7071,-4.0832,-1.3114,14.55,0.0001
7,x1,1,-23.8232,232915.8,-456530,456482.8,0.00,0.9999
7,x2,1,0.7122,1.0000,-1.2478,2.6722,0.51,0.4763
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.1827,0.5000,-3.1627,-1.2027,19.06,<.0001
8,x1,1,-23.8171,161165.8,-315903,315855.3,0.00,0.9999
8,x2,1,0.3738,0.7638,-1.1231,1.8708,0.24,0.6245
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.5239,0.5774,-3.6554,-1.3923,19.11,<.0001
9,x1,1,-24.7913,214094.1,-419642,419592.0,0.00,0.9999
9,x2,1,0.7828,0.8165,-0.8175,2.3831,0.92,0.3377
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-2.3483,0.5000,-3.3283,-1.3683,22.06,<.0001
10,x1,1,-25.0426,214494.0,-420426,420375.5,0.00,0.9999
10,x2,1,1.4474,0.6455,0.1823,2.7126,5.03,0.0249
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-2.8498,0.7071,-4.2357,-1.4639,16.24,<.0001
11,x1,1,-24.3859,246924.1,-483987,483938.0,0.00,0.9999
11,x2,1,0.3114,1.2247,-2.0891,2.7118,0.06,0.7993
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-1.8568,0.4082,-2.6570,-1.0567,20.69,<.0001
12,x1,1,-24.1093,181955.7,-356651,356602.6,0.00,0.9999
12,x2,1,-0.0057,0.7071,-1.3916,1.3802,0.00,0.9936
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-3.6478,1.0000,-5.6078,-1.6878,13.31,0.0003
13,x1,1,-24.6230,237025.8,-464587,464537.4,0.00,0.9999
13,x2,1,2.4191,1.1547,0.1560,4.6823,4.39,0.0362
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.9596,0.7071,-4.3455,-1.5737,17.52,<.0001
14,x1,1,-23.7352,254269.6,-498383,498335.5,0.00,0.9999
14,x2,1,0.4419,1.2247,-1.9586,2.8423,0.13,0.7182
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-2.0554,0.4472,-2.9319,-1.1789,21.12,<.0001
15,x1,1,-24.9455,391760.1,-767861,767810.8,0.00,0.9999
15,x2,1,-25.8781,279271.4,-547388,547336.0,0.00,0.9999
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.0418,0.4196,-2.8643,-1.2194,23.68,<.0001
16,x1,1,0.6532,0.8646,-1.0413,2.3477,0.57,0.4499
16,x2,1,-0.0745,0.7625,-1.5689,1.4200,0.01,0.9222
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-2.3108,0.5000,-3.2908,-1.3308,21.36,<.0001
17,x1,1,-23.7618,245742.5,-481670,481622.8,0.00,0.9999
17,x2,1,-0.7605,1.1180,-2.9518,1.4308,0.46,0.4964
17,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-2.4464,0.5774,-3.5780,-1.3148,17.95,<.0001
18,x1,1,-24.2168,205196.1,-402201,402152.8,0.00,0.9999
18,x2,1,0.3638,0.9129,-1.4254,2.1530,0.16,0.6902
18,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
19,Intercept,1,-2.2497,0.5000,-3.2297,-1.2697,20.24,<.0001
19,x1,1,-23.2209,184921.3,-362462,362415.9,0.00,0.9999
19,x2,1,0.1803,0.7638,-1.3166,1.6773,0.06,0.8134
19,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-2.3699,0.5774,-3.5015,-1.2383,16.85,<.0001
20,x1,1,-24.5010,515460.1,-1010308,1010259,0.00,1.0000
20,x2,1,-25.1731,297023.3,-582180,582129.8,0.00,0.9999
20,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
21,Intercept,1,-2.9880,0.7071,-4.3739,-1.6020,17.86,<.0001
21,x1,1,-24.9844,225010.1,-441037,440986.7,0.00,0.9999
21,x2,1,1.5011,0.9129,-0.2881,3.2903,2.70,0.1001
21,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
22,Intercept,1,-1.9390,0.4082,-2.7391,-1.1388,22.56,<.0001
22,x1,1,-24.0137,211015.4,-413607,413558.5,0.00,0.9999
22,x2,1,-0.2284,0.8165,-1.8287,1.3719,0.08,0.7797
22,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
23,Intercept,1,-2.5624,0.5774,-3.6940,-1.4308,19.70,<.0001
23,x1,1,-24.0309,182884.4,-358471,358422.8,0.00,0.9999
23,x2,1,1.0767,0.7303,-0.3547,2.5081,2.17,0.1404
23,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
24,Intercept,1,-1.7088,0.3536,-2.4018,-1.0159,23.36,<.0001
24,x1,1,-23.8168,167661.1,-328634,328585.9,0.00,0.9999
24,x2,1,-0.7396,1.0607,-2.8184,1.3393,0.49,0.4856
24,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
25,Intercept,1,-28.3964,0.5000,-29.3764,-27.4165,3225.43,<.0001
25,x1,1,-26.0949,561506.7,-1100559,1100507,0.00,1.0000
25,x2,0,26.7940,0.0000,26.7940,26.7940,,
25,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
26,Intercept,1,-2.2877,0.5000,-3.2677,-1.3077,20.93,<.0001
26,x1,1,-24.2553,187504.7,-367527,367478.2,0.00,0.9999
26,x2,1,0.4451,0.7638,-1.0519,1.9420,0.34,0.5601
26,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
27,Intercept,1,-2.5220,0.5774,-3.6536,-1.3904,19.08,<.0001
27,x1,1,-24.2302,201295.0,-394555,394506.7,0.00,0.9999
27,x2,1,0.5768,0.9129,-1.2124,2.3660,0.40,0.5275
27,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
28,Intercept,1,-2.4619,0.5000,-3.4419,-1.4820,24.24,<.0001
28,x1,1,-22.5369,199405.8,-390851,390805.6,0.00,0.9999
28,x2,1,0.0460,1.1180,-2.1453,2.2373,0.00,0.9672
28,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
29,Intercept,1,-3.6475,1.0000,-5.6075,-1.6876,13.30,0.0003
29,x1,1,-23.1717,190753.4,-373893,373846.5,0.00,0.9999
29,x2,1,1.4615,1.1547,-0.8017,3.7247,1.60,0.2056
29,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
30,Intercept,1,-2.9053,0.7071,-4.2912,-1.5194,16.88,<.0001
30,x1,1,-24.8367,279489.3,-547814,547764.1,0.00,0.9999
30,x2,1,0.4270,1.2247,-1.9734,2.8275,0.12,0.7273
30,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
31,Intercept,1,-1.7512,0.4482,-2.6297,-0.8727,15.27,<.0001
31,x1,1,-0.4820,1.1116,-2.6607,1.6966,0.19,0.6646
31,x2,1,-0.0293,0.7030,-1.4072,1.3486,0.00,0.9668
31,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
32,Intercept,1,-3.5106,1.0000,-5.4706,-1.5507,12.32,0.0004
32,x1,1,-25.7353,285577.4,-559747,559695.7,0.00,0.9999
32,x2,1,1.6206,1.2247,-0.7799,4.0210,1.75,0.1858
32,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
33,Intercept,1,-3.4883,1.0000,-5.4483,-1.5283,12.17,0.0005
33,x1,1,-22.9083,205869.9,-403521,403474.8,0.00,0.9999
33,x2,1,1.7100,1.1547,-0.5532,3.9731,2.19,0.1386
33,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
34,Intercept,1,-2.4860,0.5774,-3.6176,-1.3544,18.54,<.0001
34,x1,1,-24.3363,141461.6,-277284,277235.2,0.00,0.9999
34,x2,1,1.4544,0.6901,0.1019,2.8069,4.44,0.0351
34,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
35,Intercept,1,-1.8681,0.4472,-2.7446,-0.9916,17.45,<.0001
35,x1,1,-25.0385,213361.4,-418206,418155.7,0.00,0.9999
35,x2,1,0.0886,0.7303,-1.3427,1.5200,0.01,0.9034
35,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
36,Intercept,1,-2.7832,0.7071,-4.1691,-1.3973,15.49,<.0001
36,x1,1,-23.6361,166931.3,-327203,327155.7,0.00,0.9999
36,x2,1,0.8315,0.9129,-0.9576,2.6207,0.83,0.3623
36,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
37,Intercept,1,-2.1036,0.4472,-2.9802,-1.2271,22.13,<.0001
37,x1,1,-24.7174,207244.6,-406217,406167.3,0.00,0.9999
37,x2,1,0.6035,0.6708,-0.7113,1.9182,0.81,0.3683
37,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
38,Intercept,1,-2.7268,0.5774,-3.8583,-1.5952,22.31,<.0001
38,x1,1,-24.3197,242918.6,-476136,476087.3,0.00,0.9999
38,x2,1,0.9119,0.9129,-0.8773,2.7011,1.00,0.3178
38,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
39,Intercept,1,-3.4012,1.0000,-5.3612,-1.4412,11.57,0.0007
39,x1,1,-24.8257,182728.4,-358166,358116.3,0.00,0.9999
39,x2,1,2.5221,1.0607,0.4432,4.6009,5.65,0.0174
39,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
40,Intercept,1,-2.4377,0.5774,-3.5693,-1.3061,17.83,<.0001
40,x1,1,-24.3635,199718.1,-391465,391416.0,0.00,0.9999
40,x2,1,0.3124,0.9129,-1.4767,2.1016,0.12,0.7321
40,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
41,Intercept,1,-2.1787,0.5000,-3.1587,-1.1987,18.99,<.0001
41,x1,1,-24.0053,216712.6,-424773,424724.9,0.00,0.9999
41,x2,1,-0.2834,0.8660,-1.9808,1.4140,0.11,0.7435
41,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
42,Intercept,1,-2.1917,0.4472,-3.0682,-1.3151,24.02,<.0001
42,x1,1,-22.5642,193881.8,-380024,379978.7,0.00,0.9999
42,x2,1,-0.4287,1.0954,-2.5757,1.7184,0.15,0.6956
42,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
43,Intercept,1,-1.9539,0.4472,-2.8304,-1.0774,19.09,<.0001
43,x1,1,-24.0705,187419.8,-367360,367312.1,0.00,0.9999
43,x2,1,0.5254,0.6708,-0.7894,1.8401,0.61,0.4335
43,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
44,Intercept,1,-2.8568,0.7071,-4.2427,-1.4709,16.32,<.0001
44,x1,1,-23.8975,303840.5,-595540,595492.5,0.00,0.9999
44,x2,1,-0.2770,1.2247,-2.6775,2.1235,0.05,0.8211
44,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
45,Intercept,1,-2.6237,0.5774,-3.7553,-1.4921,20.65,<.0001
45,x1,1,-24.2962,301063.8,-590098,590049.9,0.00,0.9999
45,x2,1,0.1272,1.1547,-2.1360,2.3904,0.01,0.9123
45,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
46,Intercept,1,-2.4706,0.5774,-3.6022,-1.3391,18.31,<.0001
46,x1,1,-24.3433,227924.2,-446748,446698.8,0.00,0.9999
46,x2,1,1.2483,0.7071,-0.1376,2.6342,3.12,0.0775
46,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
47,Intercept,1,-3.2137,1.0000,-5.1736,-1.2537,10.33,0.0013
47,x1,1,-25.1410,268024.1,-525343,525292.4,0.00,0.9999
47,x2,1,1.5478,1.0954,-0.5992,3.6949,2.00,0.1577
47,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
48,Intercept,1,-2.0712,0.4472,-2.9477,-1.1946,21.45,<.0001
