isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-2.5483,0.6290,-4.0862,-1.5194,16.41,<.0001
1,x1,1,0.8690,0.7639,-0.6905,2.4000,1.29,0.2553
1,x2,1,0.6873,0.8211,-0.8850,2.4633,0.70,0.4026
1,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-3.2211,0.8165,-5.3870,-1.9552,15.56,<.0001
2,x1,1,-0.6734,1.4907,-5.5600,1.5636,0.20,0.6515
2,x2,1,1.8225,0.9428,0.1367,4.1222,3.74,0.0532
2,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.1560,0.4437,-3.1540,-1.3876,23.61,<.0001
3,x1,1,0.7286,0.7161,-0.9050,2.0253,1.04,0.3089
3,x2,1,0.4969,0.6231,-0.7857,1.7313,0.64,0.4252
3,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-3.1799,0.8069,-5.2796,-1.9105,15.53,<.0001
4,x1,1,0.5641,0.9167,-1.6516,2.2031,0.38,0.5383
4,x2,1,1.4840,0.9167,-0.1550,3.6998,2.62,0.1055
4,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.6950,0.6312,-4.2488,-1.6682,18.23,<.0001
5,x1,1,-0.8853,1.5046,-5.7617,1.4237,0.35,0.5562
5,x2,1,1.7006,0.8257,0.0731,3.4879,4.24,0.0394
5,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.3859,0.5260,-3.6211,-1.5020,20.57,<.0001
6,x1,1,-0.1160,1.4200,-4.7347,1.9654,0.01,0.9349
6,x2,1,0.6248,0.7309,-0.8661,2.1224,0.73,0.3926
6,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.7436,0.6225,-4.2670,-1.7265,19.42,<.0001
7,x1,1,-0.0816,1.4723,-4.7683,2.1822,0.00,0.9558
7,x2,1,0.7797,0.8700,-1.0041,2.6007,0.80,0.3702
7,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.3534,0.6325,-3.9111,-1.3250,13.85,0.0002
8,x1,1,-1.2066,1.4771,-6.0838,0.9698,0.67,0.4140
8,x2,1,0.7123,0.7628,-0.7093,2.4283,0.87,0.3504
8,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.0917,0.4714,-3.1827,-1.2907,19.69,<.0001
9,x1,1,-0.4332,1.6330,-5.4162,2.4978,0.07,0.7908
9,x2,1,-0.1110,0.9428,-2.4107,1.5748,0.01,0.9063
9,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-4.4046,1.3881,-9.0773,-2.5098,10.07,0.0015
10,x1,1,0.1041,0.9011,-2.1136,1.6767,0.01,0.9081
10,x2,1,3.0355,1.4375,0.9338,7.7433,4.46,0.0347
10,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-1.8342,0.4244,-2.7981,-1.1026,18.68,<.0001
11,x1,1,-0.2626,0.9722,-2.5717,1.4948,0.07,0.7871
11,x2,1,-0.0263,0.7279,-1.5825,1.3565,0.00,0.9711
11,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-3.2289,0.7984,-5.3228,-1.9811,16.36,<.0001
12,x1,1,-0.6898,1.4496,-5.3492,1.5007,0.23,0.6341
12,x2,1,1.5994,0.9460,-0.1384,3.8514,2.86,0.0909
12,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-2.7226,0.6325,-4.2803,-1.6942,18.53,<.0001
13,x1,1,-0.6242,1.0328,-3.0155,1.3930,0.37,0.5456
13,x2,1,1.3869,0.8944,-0.4802,3.2541,2.40,0.1210
13,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.0633,0.4701,-3.1444,-1.2621,19.27,<.0001
14,x1,1,0.0574,1.3776,-4.1715,2.1897,0.00,0.9668
14,x2,1,-1.5699,1.3776,-5.7987,0.5624,1.30,0.2545
14,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-1.7267,0.3893,-2.5997,-1.0490,19.67,<.0001
15,x1,1,-0.0386,1.5120,-4.7268,2.3370,0.00,0.9796
15,x2,1,-0.8851,0.8855,-2.9889,0.6570,1.00,0.3175
15,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.5632,0.6191,-4.0628,-1.5463,17.14,<.0001
16,x1,1,0.1428,1.4185,-4.4319,2.2493,0.01,0.9198
16,x2,1,0.8146,0.7952,-0.7547,2.5234,1.05,0.3056
16,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-3.0947,0.7955,-5.1747,-1.8490,15.13,0.0001
17,x1,1,-0.3338,1.4619,-4.9485,1.9422,0.05,0.8194
17,x2,1,0.9098,0.9928,-1.0018,3.2002,0.84,0.3594
17,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-2.6079,0.5321,-3.8674,-1.7184,24.02,<.0001
18,x1,1,0.7300,1.0026,-1.6184,2.6045,0.53,0.4665
18,x2,1,0.9266,0.8082,-0.7647,2.5395,1.31,0.2516
18,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
19,Intercept,1,-2.2429,0.4687,-3.3236,-1.4441,22.90,<.0001
19,x1,1,0.4996,0.9554,-1.7837,2.2096,0.27,0.6010
19,x2,1,0.6865,0.7413,-0.8633,2.1359,0.86,0.3544
19,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-2.7391,0.6325,-4.2968,-1.7107,18.76,<.0001
20,x1,1,0.8490,1.5492,-4.0777,3.3578,0.30,0.5837
20,x2,1,0.7267,0.8944,-1.1405,2.5938,0.66,0.4165
20,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
21,Intercept,1,-2.0278,0.4655,-3.0992,-1.2336,18.97,<.0001
21,x1,1,-1.3067,1.4356,-5.9326,0.8280,0.83,0.3627
21,x2,1,0.2102,0.7636,-1.4512,1.6768,0.08,0.7831
21,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
22,Intercept,1,-2.3303,0.5345,-3.5974,-1.4377,19.01,<.0001
22,x1,1,1.5279,0.9759,-0.2767,3.8615,2.45,0.1174
22,x2,1,-0.0991,0.9759,-2.4327,1.7055,0.01,0.9192
22,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
23,Intercept,1,-2.9527,0.8134,-5.1071,-1.6902,13.18,0.0003
23,x1,1,-0.5188,0.9140,-2.7808,1.0703,0.32,0.5703
23,x2,1,1.7602,0.9140,0.1711,4.0223,3.71,0.0541
23,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
24,Intercept,1,-2.5613,0.6322,-4.0904,-1.5217,16.41,<.0001
24,x1,1,0.6002,0.9727,-1.6619,2.4066,0.38,0.5372
24,x2,1,0.2044,0.8882,-1.6206,2.0396,0.05,0.8180
24,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
25,Intercept,1,-2.2629,0.5348,-3.5165,-1.3630,17.91,<.0001
25,x1,1,0.1656,0.8894,-2.0291,1.7028,0.03,0.8523
25,x2,1,0.7797,0.6987,-0.5989,2.2442,1.25,0.2645
25,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
26,Intercept,1,-2.2220,0.4729,-3.3084,-1.4137,22.07,<.0001
26,x1,1,0.9363,0.7219,-0.7147,2.2361,1.68,0.1946
26,x2,1,0.7610,0.6143,-0.4342,2.0408,1.53,0.2154
26,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
27,Intercept,1,-2.3278,0.5266,-3.5686,-1.4446,19.54,<.0001
27,x1,1,-0.5464,1.4878,-5.1517,1.7974,0.13,0.7134
27,x2,1,0.1771,0.9417,-1.9740,1.9385,0.04,0.8508
27,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
28,Intercept,1,-2.7256,0.6289,-4.2546,-1.6931,18.78,<.0001
28,x1,1,0.9685,0.9043,-1.2416,2.5554,1.15,0.2841
28,x2,1,0.8118,0.7734,-0.6608,2.5155,1.10,0.2939
28,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
29,Intercept,1,-1.9674,0.4233,-2.9245,-1.2364,21.60,<.0001
29,x1,1,0.5654,1.4193,-4.0842,2.6227,0.16,0.6904
29,x2,1,-0.0756,0.7411,-1.7355,1.3050,0.01,0.9187
29,Scale,0,1.0000,0.0000,1.0000,1.0000,_,_
30,Intercept,1,-2.2342,0.5310,-3.4907,-1.3463,17.70,<.0001
30,x1,1,-1.5505,1.4629,-6.3453,0.6066,1.12,0.2892
